index,SPACER_cex_depth,SPACER_cluster_out_of_gas,SPACER_expand_pob_undef,SPACER_inductive_level,SPACER_max_cluster_size,SPACER_max_cvx_reduced_dim,SPACER_max_depth,SPACER_max_query_lvl,SPACER_need_sage,SPACER_num_abstractions,SPACER_num_abstractions_failed,SPACER_num_abstractions_success,SPACER_num_active_lemmas,SPACER_num_cant_abstract,SPACER_num_ctp_blocked,SPACER_num_dim_reduction_success,SPACER_num_invariants,SPACER_num_is_invariant,SPACER_num_lemma_jumped,SPACER_num_lemmas,SPACER_num_mbp_failed,SPACER_num_merge_gen,SPACER_num_merge_gen_failed,SPACER_num_merge_gen_success,SPACER_num_no_over_approximate,SPACER_num_non_lin,SPACER_num_pobs,SPACER_num_propagations,SPACER_num_queries,SPACER_num_reach_queries,SPACER_num_refinements,SPACER_num_reuse_reach_facts,SPACER_num_sync_cvx_cls,SPACER_pob_out_of_gas,SPACER_wide_attmpts,SPACER_wide_success,max_memory,memory,result,time,time_iuc_solver_get_iuc,time_iuc_solver_get_iuc_hyp_reduce1,time_iuc_solver_get_iuc_hyp_reduce2,time_iuc_solver_get_iuc_learn_core,time_pool_solver_proof,time_pool_solver_smt_total,time_pool_solver_smt_total_sat,time_pool_solver_smt_total_undef,time_spacer_ctp,time_spacer_init_rules,time_spacer_init_rules_pt_init,time_spacer_mbp,time_spacer_solve,time_spacer_solve_propagate,time_spacer_solve_reach,time_spacer_solve_reach_children,time_spacer_solve_reach_cluster,time_spacer_solve_reach_gen_bool_ind,time_spacer_solve_reach_gen_merge,time_spacer_solve_reach_gen_merge_cvx_cls,time_spacer_solve_reach_gen_wide,time_spacer_solve_reach_is_reach
chc-lia-0143.smt2,33,276,,,5,2,33,33,,138,14,174,563,39,449,103,17,2995,73,852,,35,214,3,,,1437,1525,1333,73,4,16,4,80,,,660.48,356.40,unsat,53.13,4.21,1.25,2.31,0.37,1.22,41.42,29.65,,0.27,0.00,0.00,1.06,52.82,7.07,45.60,2.82,1.72,16.80,3.75,0.00,3.75,1.83
chc-lia-0144.smt2,43,654,7,,9,3,41,41,4,227,4,196,1377,142,707,144,14,8225,689,1911,,109,730,22,1,163,3095,4700,2923,68,61,23,155,171,,,2207.60,1149.93,unsat,474.67,9.17,3.13,5.24,0.85,2.36,433.84,297.41,4.65,1.30,0.00,0.00,3.07,473.83,59.07,414.53,9.52,11.20,176.88,34.26,0.00,34.26,12.12
chc-lia-0145.smt2,43,1093,7,,9,4,43,43,1,129,1,129,768,75,1039,38,20,7783,137,1655,,36,514,,,,1918,3681,2027,44,39,2,516,54,,,1083.96,583.09,unsat,194.13,3.09,0.95,1.56,0.47,0.65,172.69,118.37,1.17,1.85,0.00,0.00,1.90,193.66,43.52,149.92,5.44,4.26,63.57,23.47,0.00,23.47,1.96
chc-lia-0146.smt2,23,164,172,,9,2,23,23,,106,10,63,365,29,104,33,21,1937,26,570,,41,192,11,,2,773,1112,723,35,15,33,20,33,,,507.16,282.08,unsat,34.89,1.78,0.62,0.98,0.19,0.45,28.53,12.24,7.72,0.15,0.00,0.00,0.55,34.66,9.68,24.86,1.46,1.21,9.21,1.50,0.00,1.50,1.12
chc-lia-0147.smt2,43,533,1,,22,3,43,43,5,268,1,248,525,90,814,14,14,5076,221,1115,,52,323,4,,,1891,2470,2043,45,219,6,7,123,,,728.56,370.72,unsat,84.31,1.76,0.51,0.84,0.24,0.44,68.11,45.64,0.10,1.04,0.00,0.00,1.82,83.95,19.35,64.39,5.24,3.62,16.49,5.04,0.00,5.04,2.65
chc-lia-0148.smt2,34,153,,,14,1,33,33,,75,3,86,323,79,346,36,32,3324,102,565,,27,216,10,,,765,2025,718,46,16,14,,39,,,486.24,278.53,unsat,26.15,1.10,0.36,0.58,0.12,0.28,20.51,13.18,,0.29,0.00,0.00,0.55,25.90,7.46,18.30,1.41,1.07,5.81,1.39,0.00,1.39,0.87
chc-lia-0149.smt2,35,376,21,,10,3,30,30,3,88,2,84,603,59,971,98,18,5215,48,983,,49,373,9,,11,1370,2216,1271,49,,9,64,56,,,983.80,527.35,unsat,106.17,4.21,1.47,2.42,0.38,1.09,91.95,65.61,2.01,1.18,0.00,0.00,1.00,105.77,44.02,61.61,2.78,2.78,24.21,4.58,0.00,4.58,1.62
chc-lia-0150.smt2,36,410,35,,16,3,33,33,9,155,30,130,1389,106,998,100,34,8133,112,1810,,151,925,63,,46,2442,4203,2225,141,32,82,166,55,17,1,2197.96,1208.87,unsat,505.61,22.95,8.08,14.37,1.51,5.65,447.85,296.79,8.80,2.71,0.00,0.00,2.14,504.69,98.08,406.45,7.19,14.76,199.26,28.77,0.00,28.77,13.77
chc-lia-0151.smt2,33,140,2,,7,2,31,31,,67,4,77,422,141,374,45,15,3288,134,708,,41,469,22,,,840,1873,784,75,17,27,6,16,6,,671.00,356.48,unsat,46.82,3.00,1.10,1.75,0.29,0.73,37.53,25.90,0.17,0.30,0.00,0.00,0.65,46.50,11.75,34.61,1.68,2.01,13.38,2.15,0.00,2.15,1.54
chc-lia-0152.smt2,43,207,2,,13,4,40,40,12,91,1,131,662,93,286,34,31,3698,66,910,,47,556,5,,35,1193,2458,1119,49,18,7,64,32,14,,956.68,532.47,unsat,82.81,2.28,0.74,1.21,0.30,0.54,70.22,45.81,0.50,0.27,0.00,0.00,0.87,82.38,18.82,63.36,2.60,3.94,28.40,5.51,0.00,5.51,1.81
chc-lia-0153.smt2,42,573,60,,15,3,42,42,18,175,7,208,1279,147,1402,104,18,11068,89,1923,,96,789,19,,10,2549,6404,2377,88,39,20,99,85,17,1,2215.32,1189.16,unsat,505.99,12.67,4.61,7.87,1.02,2.84,459.59,291.61,8.13,3.15,0.00,0.00,2.36,505.09,114.44,390.46,8.86,11.91,187.98,32.45,0.00,32.45,8.81
chc-lia-0154.smt2,,773,87,,10,3,41,40,9,221,1,177,1142,151,1738,360,90,12907,176,1847,,80,600,14,,64,2621,7192,2438,40,12,14,29,118,39,,509.65,509.45,timeout,598.55,14.29,4.83,8.41,0.98,3.91,541.03,344.85,30.47,4.11,0.00,0.00,2.24,582.93,155.16,427.57,7.37,8.08,195.06,52.15,0.00,52.15,5.92
chc-lia-0155.smt2,,773,87,,10,3,41,40,9,221,1,177,1142,151,1738,360,90,12907,176,1847,,80,600,14,,64,2621,7192,2438,40,12,14,29,118,39,,520.09,519.71,timeout,598.66,14.36,4.90,8.43,1.00,3.95,532.31,339.90,30.00,4.06,0.00,0.00,2.29,574.47,152.39,421.90,7.42,8.17,191.41,51.47,0.00,51.47,5.84
chc-lia-0156.smt2,,235,,,8,3,26,25,2,203,15,200,631,175,1555,8,27,5794,105,1043,,27,482,16,,,1344,2723,1157,42,,20,4,48,55,,277.16,272.74,timeout,599.37,4.21,1.13,2.22,0.36,1.28,69.50,49.68,,0.94,0.00,0.00,0.98,83.09,24.69,58.28,2.61,2.87,26.22,2.73,0.00,2.73,1.07
chc-lia-0157.smt2,36,501,,,11,3,32,32,5,187,8,210,1124,269,2843,100,66,13103,115,1820,,84,780,20,,41,2277,6231,2107,61,12,24,67,65,10,2,1937.72,1049.80,unsat,340.63,6.86,2.03,3.91,0.87,1.49,303.67,204.06,0.37,4.68,0.00,0.00,1.93,339.92,113.04,226.72,6.97,10.34,103.50,14.78,0.00,14.78,5.26
chc-lia-0158.smt2,,,6,9,,,18,18,,,,,59,,241,,69,956,4,225,,,,,,,40,434,207,,,,,,,,115.76,77.71,sat,3.03,0.45,0.05,0.24,0.04,0.14,2.00,1.24,0.15,0.03,0.00,0.00,0.03,2.94,0.62,2.26,0.08,0.17,1.10,0.00,,0.00,
