index,SPACER_cex_depth,SPACER_cluster_out_of_gas,SPACER_expand_pob_undef,SPACER_inductive_level,SPACER_max_cluster_size,SPACER_max_cvx_reduced_dim,SPACER_max_depth,SPACER_max_query_lvl,SPACER_need_sage,SPACER_num_active_lemmas,SPACER_num_cant_abstract,SPACER_num_ctp_blocked,SPACER_num_dim_reduction_success,SPACER_num_invariants,SPACER_num_is_invariant,SPACER_num_lemma_jumped,SPACER_num_lemmas,SPACER_num_mbp_failed,SPACER_num_merge_gen,SPACER_num_merge_gen_failed,SPACER_num_merge_gen_success,SPACER_num_no_over_approximate,SPACER_num_non_lin,SPACER_num_pobs,SPACER_num_propagations,SPACER_num_queries,SPACER_num_reach_queries,SPACER_num_refinements,SPACER_num_reuse_reach_facts,SPACER_num_sync_cvx_cls,SPACER_pob_out_of_gas,SPACER_wide_attmpts,SPACER_wide_success,max_memory,memory,result,time,time_iuc_solver_get_iuc,time_iuc_solver_get_iuc_hyp_reduce1,time_iuc_solver_get_iuc_hyp_reduce2,time_iuc_solver_get_iuc_learn_core,time_pool_solver_proof,time_pool_solver_smt_total,time_pool_solver_smt_total_sat,time_pool_solver_smt_total_undef,time_spacer_ctp,time_spacer_init_rules,time_spacer_init_rules_pt_init,time_spacer_mbp,time_spacer_solve,time_spacer_solve_propagate,time_spacer_solve_reach,time_spacer_solve_reach_children,time_spacer_solve_reach_cluster,time_spacer_solve_reach_gen_bool_ind,time_spacer_solve_reach_gen_merge,time_spacer_solve_reach_gen_merge_cvx_cls,time_spacer_solve_reach_gen_wide,time_spacer_solve_reach_is_reach
chc-lia-lin-0225.smt2,,,,2,,,5,5,,22,,6,,34,123,,52,,,,,,,38,97,46,,,,,,,,215.84,120.92,sat,4.36,0.73,0.07,0.33,0.03,0.32,2.71,1.79,,0.00,0.01,0.01,0.07,3.84,0.47,3.36,0.31,0.02,1.68,0.00,,0.00,
chc-lia-lin-0226.smt2,,,,2,1,,5,5,,20,,4,,30,122,,47,,,,,,,32,95,41,,,,,,,,217.04,123.39,sat,4.41,0.87,0.07,0.47,0.03,0.31,2.61,1.68,,0.00,0.01,0.01,0.06,3.84,0.58,3.24,0.27,0.01,1.47,0.00,,0.00,
chc-lia-lin-0227.smt2,,,,2,1,,6,6,,22,,8,,39,135,,66,,,,,,,43,87,59,,,,,,,,216.48,126.94,sat,5.84,1.34,0.13,0.69,0.06,0.49,3.35,2.35,,0.00,0.01,0.01,0.09,5.22,0.78,4.41,0.40,0.03,1.80,0.01,,0.01,
chc-lia-lin-0228.smt2,,,,2,,,6,6,,24,,8,,35,167,,58,,,,,,,41,133,51,,,,,,,,219.20,130.88,sat,5.77,1.08,0.11,0.53,0.04,0.45,3.61,2.25,,0.00,0.02,0.01,0.08,5.15,0.76,4.37,0.36,0.03,2.11,0.00,,0.00,
chc-lia-lin-0229.smt2,,,,2,1,,6,6,,27,,4,,41,136,,71,,,,,,,51,87,64,,,,,,,,226.76,131.19,sat,8.08,2.79,0.23,1.67,0.11,0.85,4.04,2.80,,0.00,0.02,0.01,0.11,7.46,1.05,6.39,0.48,0.03,2.07,0.01,,0.01,
chc-lia-lin-0230.smt2,,,,1,1,1,5,5,,21,,3,,36,109,,53,,,,,,,39,84,47,,,,,,28,1,227.12,131.71,sat,5.39,1.28,0.12,0.69,0.05,0.46,3.09,2.18,,0.00,0.02,0.01,0.07,4.80,0.55,4.23,0.33,0.02,1.58,0.27,0.00,0.27,
chc-lia-lin-0231.smt2,,,,2,,,5,5,,28,,4,,44,121,,65,,,,,,,50,79,59,,,,,,,,228.28,134.58,sat,8.40,2.80,0.21,1.68,0.10,0.88,4.34,3.05,,0.00,0.01,0.01,0.10,7.71,0.86,6.83,0.43,0.03,2.64,0.00,,0.00,
chc-lia-lin-0232.smt2,,,,2,,,5,5,,28,,4,,44,121,,65,,,,,,,50,79,59,,,,,,,,228.28,134.58,sat,8.69,2.86,0.22,1.73,0.10,0.89,4.56,3.19,,0.00,0.02,0.01,0.10,8.00,0.93,7.05,0.44,0.03,2.75,0.00,,0.00,
chc-lia-lin-0233.smt2,,,,2,2,,5,5,,21,,6,,38,121,,56,,,,,,,40,92,50,,,,,,,,219.80,131.15,sat,6.18,1.57,0.13,0.85,0.06,0.56,3.51,2.36,,0.00,0.02,0.01,0.08,5.56,0.65,4.90,0.37,0.02,2.08,0.00,,0.00,
chc-lia-lin-0234.smt2,,,,2,2,,5,5,,21,,6,,38,121,,56,,,,,,,40,92,50,,,,,,,,219.80,131.15,sat,6.21,1.59,0.13,0.85,0.06,0.58,3.51,2.37,,0.00,0.02,0.01,0.09,5.59,0.65,4.93,0.37,0.02,2.07,0.00,,0.00,
chc-lia-lin-0235.smt2,,,,2,1,1,5,5,,28,,11,,42,125,,68,,,,,,,50,84,62,,,,,,14,1,245.48,141.53,sat,8.96,3.19,0.24,1.77,0.12,1.13,4.49,2.97,,0.00,0.02,0.01,0.11,8.32,0.68,7.62,0.48,0.04,2.67,0.17,0.00,0.17,
chc-lia-lin-0236.smt2,,,,2,1,1,6,6,,27,,12,,43,164,,72,,,,,,,45,106,65,,,,,,2,,252.12,143.46,sat,9.09,2.80,0.23,1.62,0.11,0.92,4.95,3.46,,0.00,0.02,0.01,0.11,8.42,1.06,7.34,0.50,0.04,2.87,0.04,0.00,0.04,
chc-lia-lin-0237.smt2,,,,2,1,,5,5,,26,,5,,38,148,,57,,,,,,,42,122,51,,,,,,,,242.76,140.52,sat,7.52,1.97,0.17,1.11,0.08,0.67,4.38,2.62,,0.00,0.02,0.01,0.09,6.87,0.85,6.00,0.40,0.02,2.63,0.00,,0.00,
chc-lia-lin-0238.smt2,,,,2,1,,5,5,,29,,10,,48,109,,73,,,,,,,59,65,67,,,,,,,,240.28,139.96,sat,9.09,2.86,0.24,1.63,0.13,0.92,4.97,3.39,,0.00,0.02,0.01,0.12,8.52,0.74,7.76,0.54,0.04,3.11,0.00,,0.00,
chc-lia-lin-0239.smt2,,,,2,1,,5,5,,27,,8,,41,100,,67,,,,,,,56,61,61,,,,,,,,232.92,137.04,sat,5.88,1.82,0.15,1.01,0.06,0.65,3.02,2.02,,0.00,0.01,0.01,0.09,5.34,0.43,4.90,0.40,0.03,1.93,0.00,,0.00,
chc-lia-lin-0240.smt2,,,,2,1,,6,6,,25,,13,,44,139,,73,,,,,,,60,78,66,,,,,,,,246.08,143.53,sat,6.54,1.73,0.15,0.94,0.06,0.64,3.66,2.47,,0.00,0.01,0.01,0.10,5.97,0.65,5.30,0.45,0.03,2.20,0.01,,0.01,
chc-lia-lin-0241.smt2,,,,2,1,,6,6,,25,,13,,44,139,,73,,,,,,,60,78,66,,,,,,,,246.08,143.53,sat,6.47,1.72,0.15,0.93,0.06,0.64,3.61,2.42,,0.00,0.01,0.01,0.10,5.90,0.63,5.25,0.45,0.03,2.17,0.01,,0.01,
chc-lia-lin-0242.smt2,,,,2,2,,5,5,,25,,5,,42,93,,66,,,,,,,51,57,60,,,,,,,,235.44,139.46,sat,6.20,1.91,0.17,1.03,0.07,0.70,3.20,2.09,,0.00,0.01,0.01,0.09,5.64,0.43,5.19,0.42,0.03,2.03,0.00,,0.00,
chc-lia-lin-0243.smt2,,,,2,2,,5,5,,25,,5,,42,93,,66,,,,,,,51,57,60,,,,,,,,235.44,139.46,sat,6.63,1.99,0.18,1.07,0.07,0.73,3.50,2.33,,0.00,0.01,0.01,0.10,6.05,0.44,5.59,0.44,0.03,2.25,0.00,,0.00,
chc-lia-lin-0244.smt2,,,,2,1,1,6,6,,27,,7,,47,179,,74,,,,,,,57,121,67,,,,,,12,1,276.72,154.71,sat,8.01,2.48,0.19,1.43,0.08,0.84,4.33,2.95,,0.00,0.02,0.01,0.11,7.42,0.91,6.49,0.48,0.04,2.44,0.11,0.00,0.11,
chc-lia-lin-0245.smt2,,,,2,1,1,6,6,,27,,7,,47,179,,74,,,,,,,57,121,67,,,,,,12,1,276.72,154.71,sat,8.26,2.54,0.19,1.47,0.08,0.86,4.49,3.07,,0.00,0.01,0.01,0.11,7.66,0.97,6.67,0.49,0.04,2.52,0.11,0.00,0.11,
chc-lia-lin-0246.smt2,,,,5,1,1,7,7,,18,2,9,,13,74,2,40,,,,,,,23,36,33,,,,,,6,,141.76,78.07,sat,0.76,0.07,0.01,0.02,0.00,0.04,0.45,0.19,,0.00,0.01,0.01,0.01,0.60,0.10,0.49,0.02,0.01,0.15,0.01,0.00,0.01,
chc-lia-lin-0247.smt2,,,,4,,1,6,6,,21,1,7,1,17,71,3,40,,,,,,,25,36,34,,,,,,12,2,204.72,123.19,sat,1.11,0.05,0.01,0.02,0.00,0.03,0.74,0.31,,0.00,0.01,0.01,0.01,0.89,0.11,0.76,0.02,0.01,0.23,0.09,0.00,0.09,
chc-lia-lin-0248.smt2,,,,21,,,28,28,,342,,1249,,252,4411,92,910,,,,,,,401,2278,883,,,,,,,,954.88,396.90,sat,8.02,0.56,0.12,0.23,0.08,0.18,5.47,2.52,,0.06,0.03,0.01,0.25,7.47,2.26,5.11,0.58,0.18,1.47,0.00,,0.00,
chc-lia-lin-0249.smt2,5,,,,,,5,5,,20,,14,,1,43,1,39,,,,,,,19,9,38,5,,1,,,,,147.96,48.61,unsat,0.19,0.00,0.00,0.00,0.00,0.00,0.05,0.02,,0.00,0.03,0.01,0.01,0.10,0.01,0.07,0.01,0.00,0.00,0.00,,0.00,0.01
chc-lia-lin-0250.smt2,24,,,,,,24,24,,157,,443,,77,1370,7,371,,,,,,,163,685,375,24,,1,,,,,579.48,191.72,unsat,1.46,0.06,0.01,0.02,0.01,0.02,0.79,0.28,,0.00,0.05,0.01,0.06,1.26,0.35,0.83,0.14,0.02,0.06,0.00,,0.00,0.05
chc-lia-lin-0251.smt2,,4,,,52,1,68,67,,2428,364,18653,25,793,93844,929,5419,,102,490,18,,,2811,58071,5482,41,40,18,,14,1737,18,3810.30,3761.38,timeout,597.65,11.23,2.08,6.11,1.55,1.89,532.31,269.13,,4.46,0.04,0.01,1.58,585.13,320.04,264.78,5.29,12.94,125.62,21.12,0.00,21.12,0.45
chc-lia-lin-0252.smt2,14,,,,,,14,14,,72,,146,,14,468,1,222,,,,,,,71,207,221,14,,1,,,,,323.44,106.62,unsat,0.76,0.03,0.00,0.01,0.00,0.01,0.35,0.15,,0.00,0.04,0.01,0.04,0.60,0.11,0.46,0.09,0.00,0.02,0.00,,0.00,0.02
chc-lia-lin-0253.smt2,,,,64,11,1,73,73,,549,113,4175,,424,19185,425,1625,,19,83,,,,767,12694,1564,,7,,,,568,,4989.56,1883.86,sat,38.50,1.38,0.26,0.63,0.19,0.33,27.91,10.43,,0.20,0.06,0.01,0.33,34.26,16.34,17.59,0.96,0.76,6.44,1.42,0.00,1.42,
chc-lia-lin-0254.smt2,,,,65,85,1,105,105,,858,144,6596,,1516,84094,649,2843,,10,18,,,,1964,75417,2875,,,,,8,291,,22190.28,8195.07,sat,260.92,3.29,0.47,1.69,0.50,0.48,214.56,21.90,,0.37,0.06,0.02,0.74,238.09,185.69,51.99,2.36,5.55,8.84,7.67,0.00,7.67,0.15
chc-lia-lin-0255.smt2,32,,,,,,32,32,,195,,840,,69,2575,7,538,,,,,,,207,1276,543,32,,1,,,,,900.92,312.30,unsat,3.03,0.14,0.02,0.05,0.01,0.05,1.86,0.76,,0.01,0.06,0.02,0.10,2.72,0.89,1.72,0.26,0.02,0.27,0.00,,0.00,0.08
chc-lia-lin-0256.smt2,61,78,,,41,2,61,61,,1317,36,7608,9,163,23932,156,2438,,58,18,,,,1523,11542,2871,61,66,1,1,57,304,,4900.76,1881.93,unsat,71.23,2.93,0.56,1.36,0.41,0.73,56.43,28.45,,0.76,0.05,0.01,0.80,70.21,23.59,46.35,2.45,2.84,15.90,2.38,0.00,2.38,0.79
chc-lia-lin-0257.smt2,,,54,10,6,2,12,12,,32,8,22,1,21,191,,74,,9,,1,,,68,93,89,23,3,18,5,,47,9,621.40,357.94,sat,17.48,0.38,0.06,0.15,0.02,0.19,15.72,5.64,3.70,0.00,0.02,0.02,0.06,16.64,2.73,13.86,0.11,0.05,3.23,1.84,0.00,1.84,0.76
chc-lia-lin-0258.smt2,,343,521,,29,4,47,46,2,197,14,744,35,31,4320,8,703,,90,3,10,,,571,1794,730,66,54,65,344,,188,9,713.03,712.33,timeout,599.53,3.56,0.60,1.69,0.26,1.29,577.16,18.65,106.91,0.18,0.02,0.02,0.51,590.75,61.07,529.43,1.24,2.66,51.54,25.87,0.00,25.87,20.83
chc-lia-lin-0259.smt2,,,,29,,,39,39,,145,,814,,101,3184,20,465,,,,,,,120,1900,438,,,,,,,,1083.68,371.69,sat,3.47,0.13,0.01,0.04,0.01,0.05,1.92,0.61,,0.01,0.06,0.02,0.08,2.73,1.20,1.39,0.23,0.02,0.17,0.00,,0.00,
chc-lia-lin-0260.smt2,,,,62,,,87,87,,309,,4135,,187,12760,,1460,,,,,,,191,7122,1416,,,,,,,,4652.52,1526.96,sat,16.93,0.86,0.07,0.27,0.08,0.37,10.25,3.01,,0.07,0.09,0.03,0.22,13.40,6.63,6.42,0.58,0.05,1.35,0.00,,0.00,
chc-lia-lin-0261.smt2,,,,62,,,103,103,,287,,3902,,125,12624,,1391,,,,,,,125,7951,1346,,,,,,,,4461.12,1488.14,sat,15.86,0.62,0.05,0.20,0.05,0.25,9.34,2.20,,0.03,0.09,0.03,0.31,12.34,6.44,5.49,0.69,0.04,1.33,0.00,,0.00,
chc-lia-lin-0262.smt2,,,,62,,,97,97,,281,,3927,,125,11805,,1319,,,,,,,127,7408,1280,,,,,,,,4622.48,1515.20,sat,14.42,0.61,0.05,0.20,0.04,0.26,8.32,1.88,,0.02,0.09,0.03,0.29,11.10,5.55,5.18,0.62,0.04,1.22,0.00,,0.00,
chc-lia-lin-0263.smt2,,,,62,,,89,89,,247,,3512,,125,10455,,1320,,,,,,,125,6002,1278,,,,,,,,4466.00,1439.74,sat,12.73,0.82,0.05,0.20,0.04,0.48,6.92,1.87,,0.04,0.09,0.03,0.19,9.64,4.25,5.04,0.51,0.03,0.87,0.00,,0.00,
chc-lia-lin-0264.smt2,,,,62,,,117,117,,301,,3827,,125,13835,,1839,,,,,,,125,9078,1780,,,,,,,,5762.80,1853.28,sat,19.41,0.62,0.07,0.23,0.05,0.19,11.84,2.97,,0.03,0.09,0.03,0.26,15.19,8.02,6.71,0.69,0.05,1.93,0.00,,0.00,
chc-lia-lin-0265.smt2,,,,62,,,101,101,,248,,3910,,126,12083,,1320,,,,,,,125,7562,1278,,,,,,,,4539.04,1505.13,sat,15.60,0.60,0.06,0.20,0.04,0.24,9.28,2.41,,0.02,0.09,0.03,0.32,12.14,6.09,5.67,0.66,0.03,1.77,0.00,,0.00,
chc-lia-lin-0266.smt2,,,,81,,,82,82,,227,,3215,,125,9567,21,1347,,,,,,,127,5250,1301,,,,,,,,3409.36,1165.82,sat,12.16,0.69,0.05,0.19,0.04,0.35,6.86,2.01,,0.05,0.09,0.03,0.20,9.46,4.27,4.86,0.53,0.03,0.80,0.00,,0.00,
chc-lia-lin-0267.smt2,,,,119,,,122,122,,365,,3858,,125,14150,,2094,,,,,,,149,9432,2030,,,,,,,,5775.28,1988.22,sat,20.81,0.59,0.06,0.22,0.06,0.15,12.75,3.08,,0.04,0.09,0.03,0.38,16.39,8.89,7.01,0.88,0.06,1.90,0.00,,0.00,
chc-lia-lin-0268.smt2,,,,,68,1,78,77,,4717,265,23002,69,663,75993,802,7277,,96,291,,,,6318,38661,7907,,21,,,77,2400,,6211.54,6193.77,timeout,597.05,16.57,2.54,8.55,2.38,3.09,360.47,215.72,,3.57,0.07,0.02,2.57,428.91,108.18,320.38,9.29,20.30,150.02,19.75,0.00,19.75,0.38
chc-lia-lin-0269.smt2,,,,62,,,119,119,,309,,5581,,299,19199,,2052,,,,,,,187,12674,1992,,,,,,,,6093.28,2173.86,sat,25.34,0.90,0.12,0.38,0.10,0.22,16.00,2.85,,0.03,0.09,0.03,0.33,20.26,11.77,8.02,0.87,0.07,1.75,0.00,,0.00,
chc-lia-lin-0270.smt2,,,,120,,,121,121,,305,,3878,,125,13986,60,2027,,,,,,,127,9559,1964,,,,,,,,5776.36,2015.39,sat,20.75,0.62,0.03,0.14,0.06,0.29,12.28,2.38,,0.03,0.09,0.03,0.34,15.75,9.15,6.14,0.77,0.05,1.51,0.00,,0.00,
chc-lia-lin-0271.smt2,,,,107,,,108,108,,326,,3904,,125,13201,47,1503,,,,,,,127,8432,1452,,,,,,,,5045.48,1670.87,sat,17.35,0.53,0.04,0.17,0.05,0.20,10.07,2.07,,0.03,0.09,0.03,0.20,12.86,7.13,5.32,0.53,0.04,1.32,0.00,,0.00,
chc-lia-lin-0272.smt2,,,,62,,,90,90,,247,,3571,,125,10570,,1308,,,,,,,127,6138,1267,,,,,,,,4519.68,1471.95,sat,14.54,0.73,0.06,0.22,0.05,0.35,7.83,1.88,,0.04,0.09,0.03,0.23,10.57,5.12,5.08,0.54,0.03,0.84,0.00,,0.00,
chc-lia-lin-0273.smt2,,,,126,,,143,143,,387,,8577,,187,22986,152,1823,,,,,,,191,12769,1766,,,,,,,,8101.40,2732.69,sat,44.25,1.22,0.10,0.41,0.10,0.50,32.43,4.35,,0.10,0.09,0.03,0.26,37.15,15.83,20.72,0.69,0.06,2.25,0.00,,0.00,
chc-lia-lin-0274.smt2,,,,96,,,99,99,,417,,5418,,187,15635,,1469,,,,,,,187,9453,1428,,,,,,,,6402.04,2174.91,sat,22.77,0.95,0.12,0.38,0.08,0.33,14.13,2.78,,0.03,0.09,0.03,0.21,17.57,9.41,7.77,0.56,0.05,2.00,0.00,,0.00,
chc-lia-lin-0275.smt2,,,,62,,,108,108,,309,,4073,,189,15481,1,1625,,,,,,,187,10321,1576,,,,,,,,8053.68,2606.16,sat,27.31,0.83,0.07,0.30,0.07,0.29,18.38,2.75,,0.04,0.09,0.03,0.23,22.26,10.01,11.82,0.62,0.39,1.58,0.01,,0.01,
chc-lia-lin-0276.smt2,,,,94,,,95,95,,287,,3933,,125,11342,34,1256,,,,,,,125,7028,1218,,,,,,,,4644.48,1540.45,sat,15.03,0.65,0.05,0.19,0.05,0.31,8.66,1.84,,0.02,0.12,0.05,0.17,11.25,5.86,5.03,0.45,0.03,1.30,0.00,,0.00,
chc-lia-lin-0277.smt2,,,,102,,,105,105,,435,,5573,,187,17036,,1577,,,,,,,187,10473,1530,,,,,,,,6511.72,2226.09,sat,24.70,0.95,0.12,0.38,0.10,0.30,15.46,3.33,,0.04,0.10,0.03,0.33,19.27,10.46,8.40,0.74,0.06,2.39,0.00,,0.00,
chc-lia-lin-0278.smt2,,,,,61,1,77,76,,6356,306,18119,42,449,57816,275,9569,,65,141,,,,8612,25644,9952,,8,,,51,1792,,4887.68,4755.94,timeout,597.11,25.45,4.21,13.91,4.26,3.43,478.93,301.38,,3.29,0.07,0.02,3.62,580.73,96.28,484.11,13.36,34.53,239.04,21.36,0.00,21.36,0.29
chc-lia-lin-0279.smt2,,,,,77,1,78,77,,4198,369,25140,29,411,92859,354,6539,,66,90,,,,5939,51528,6954,,3,,,48,2155,10,7110.41,6985.23,timeout,596.32,15.47,2.27,8.41,2.40,2.00,402.34,224.54,,3.63,0.08,0.02,2.42,478.25,149.17,328.74,8.66,22.91,143.29,25.69,0.00,25.69,0.68
chc-lia-lin-0280.smt2,,,,2,,1,5,5,,15,2,7,,27,53,,43,,,,,,,35,23,38,,,,,,,,690.96,369.78,sat,21.81,1.93,0.12,0.77,0.05,1.02,14.52,12.22,,0.00,0.09,0.08,0.20,17.83,3.09,14.73,1.28,0.01,8.78,0.10,0.00,0.10,
chc-lia-lin-0281.smt2,,,,9,,1,13,13,,177,10,298,,233,2960,,431,,,,,,,332,1617,417,,,,,,,,1702.52,994.33,sat,343.84,38.05,2.79,17.18,1.43,17.59,279.65,217.59,,0.36,0.09,0.07,2.61,336.52,88.46,248.00,15.98,1.09,161.39,0.78,0.00,0.78,
chc-lia-lin-0282.smt2,42,,,,,,42,42,,451,,2046,,133,6373,12,1125,,,,,,,477,3270,1131,42,,1,,,,,2155.24,723.69,unsat,9.04,0.47,0.08,0.18,0.05,0.15,6.31,2.61,,0.04,0.09,0.02,0.25,8.52,2.88,5.48,0.65,0.09,1.37,0.00,,0.00,0.14
chc-lia-lin-0283.smt2,,,,,1,1,14,13,,449,10,180,,268,4310,,568,,,,,,,426,2775,554,,,,,,,,497.23,474.39,timeout,599.05,98.55,5.69,57.01,2.60,35.46,456.40,349.11,,0.65,0.11,0.10,3.88,582.77,149.54,433.17,23.03,1.92,257.55,1.03,0.00,1.03,
chc-lia-lin-0284.smt2,,,,6,,1,12,12,,151,11,195,,380,4284,,597,,,,,,,483,2617,584,,,,,,6,,1986.92,1138.16,sat,547.08,93.99,5.54,49.75,2.88,37.64,416.91,326.59,,0.65,0.09,0.08,3.95,539.96,143.80,396.10,24.21,2.13,222.50,1.70,0.00,1.70,
chc-lia-lin-0285.smt2,,,,10,,1,15,15,,175,14,361,,317,4620,,531,,,,,,,414,2747,516,,,,,,4,,1969.84,1125.95,sat,487.62,63.50,4.42,31.32,1.90,27.65,391.29,308.87,,0.60,0.08,0.08,3.50,479.69,142.64,336.99,20.72,1.66,205.65,1.53,0.00,1.53,
chc-lia-lin-0286.smt2,,,,5,,1,8,8,,69,5,46,,252,1761,2,364,,,,,,,321,1075,355,,,,,,,,1286.48,736.01,sat,232.14,33.38,2.15,16.10,1.07,14.71,177.09,141.85,,0.21,0.09,0.08,2.41,226.67,52.89,173.75,14.17,0.78,98.87,0.41,0.00,0.41,
chc-lia-lin-0287.smt2,,,,,2,1,11,10,,497,8,234,,37,4064,,603,,,,,,,488,2091,592,,,,,,6,,459.86,445.73,timeout,599.11,90.84,5.94,48.23,2.67,36.33,430.84,347.45,,0.70,0.10,0.09,4.19,551.43,166.40,384.99,24.75,2.17,214.59,1.45,0.00,1.45,
chc-lia-lin-0288.smt2,,,,9,2,1,16,16,,119,13,128,,359,3529,1,568,,,,,,,456,2360,553,,,,,,8,,1889.88,1113.95,sat,467.90,63.86,4.55,31.02,2.11,27.87,369.95,287.69,,0.51,0.10,0.09,3.90,461.54,103.67,357.81,23.24,1.93,216.80,2.28,0.00,2.28,
chc-lia-lin-0289.smt2,,,,4,2,1,9,9,,55,7,68,,211,1843,,310,,,,,,,251,1243,300,,,,,,10,,1227.24,699.83,sat,204.10,32.23,1.94,15.04,1.01,14.84,151.22,119.56,,0.15,0.13,0.11,2.34,198.77,45.66,153.07,13.74,0.54,80.19,1.53,0.00,1.53,
chc-lia-lin-0290.smt2,,,,5,,1,8,8,,59,6,47,,143,1081,,234,,,,,,,192,564,225,,,,,,,,1130.56,648.38,sat,150.07,21.60,1.39,9.54,0.77,10.31,112.94,87.24,,0.08,0.10,0.09,1.48,144.95,39.07,105.85,9.38,0.30,57.40,0.44,0.00,0.44,
chc-lia-lin-0291.smt2,,,,5,,1,9,9,,100,7,83,,331,2555,,460,,,,,,,389,1378,450,,,,,,4,,1793.00,1043.46,sat,397.42,65.45,4.38,34.54,1.92,26.37,300.86,240.43,,0.35,0.10,0.09,3.29,389.83,106.41,283.39,20.38,1.28,155.57,1.15,0.00,1.15,
chc-lia-lin-0292.smt2,,,,6,,1,10,10,,110,8,184,,262,2632,,449,,,,,,,346,1431,438,,,,,,,,1685.12,1002.84,sat,355.39,66.84,5.22,34.36,2.52,26.75,258.96,207.96,,0.31,0.10,0.09,3.14,347.92,92.97,254.91,19.28,1.13,130.34,0.70,0.00,0.70,
chc-lia-lin-0293.smt2,50,,,,63,1,50,50,,2156,41,11920,,262,30189,244,3565,,38,109,,,,2233,11820,3830,50,50,1,,36,315,,9784.88,3183.95,unsat,92.01,5.24,0.99,2.57,0.69,1.18,71.68,38.39,,1.00,0.07,0.02,1.23,90.77,25.68,64.87,3.67,3.78,23.51,1.98,0.00,1.98,0.48
chc-lia-lin-0294.smt2,,,,,68,1,105,104,,3108,123,28044,,1018,119807,2257,6660,,11,33,,,,3794,76811,6635,,2,,,6,751,,10215.58,10051.72,timeout,597.76,15.75,2.56,9.00,2.18,1.88,431.11,188.24,,2.86,0.11,0.03,2.12,485.76,228.94,256.31,6.94,10.77,124.49,6.98,0.00,6.98,0.13
chc-lia-lin-0295.smt2,,32,,,97,2,70,69,,4477,175,34153,25,681,85205,1073,7732,,36,613,,,,4675,34304,7832,,125,,6,23,1486,2,4806.01,4693.35,timeout,596.50,20.45,3.40,11.18,3.12,3.04,513.85,300.70,,4.75,0.08,0.02,2.63,596.09,144.89,450.85,9.61,23.94,216.92,16.49,0.00,16.49,0.08
chc-lia-lin-0296.smt2,,145,85,42,155,2,77,77,,397,361,2181,2,649,17856,860,1575,,248,899,7,1,,2104,13465,2669,13,145,7,19,67,5871,162,9491.12,3725.15,sat,187.91,3.89,0.58,1.65,0.43,1.38,151.99,67.88,6.76,0.44,0.06,0.02,0.96,179.32,42.02,136.84,3.65,7.98,23.64,31.62,0.00,31.62,3.61
chc-lia-lin-0297.smt2,29,5,25,,62,3,29,29,8,554,161,760,47,176,4705,194,885,,80,439,12,,2,825,2565,1013,46,23,13,148,5,11546,227,3095.24,1151.37,unsat,69.50,1.42,0.31,0.59,0.15,0.54,60.65,43.91,7.02,0.18,0.06,0.02,0.36,68.64,7.12,61.38,1.14,1.71,8.54,38.22,0.00,38.22,0.54
chc-lia-lin-0298.smt2,,296,672,,226,3,59,58,1,1100,496,3258,25,245,28906,576,2681,,687,790,,,,2711,17709,4347,,517,,338,50,22823,569,3307.57,3217.53,timeout,598.18,8.27,1.54,4.25,1.07,2.02,491.66,222.68,69.84,2.17,0.06,0.03,1.64,547.50,131.47,415.70,6.46,15.79,76.90,124.71,0.01,124.71,11.48
chc-lia-lin-0299.smt2,29,,58,,54,2,26,26,,437,151,993,7,145,3796,142,821,,99,243,1,,1,519,1602,877,29,56,14,159,12,9112,274,1796.36,724.40,unsat,54.59,1.31,0.27,0.58,0.11,0.50,47.45,33.16,6.95,0.17,0.06,0.02,0.47,53.91,5.27,48.51,0.94,1.11,8.53,28.23,0.00,28.23,0.60
chc-lia-lin-0300.smt2,,14,61,,60,2,36,35,,482,227,762,12,125,5701,165,956,,142,338,,,,723,3147,1204,,83,,59,16,5431,148,,,,,1.50,0.28,0.58,0.16,0.59,44.57,28.67,3.33,0.21,0.06,0.02,0.40,51.96,9.94,41.84,1.32,1.28,8.90,17.04,0.00,17.04,0.27
chc-lia-lin-0301.smt2,52,,,,2,,52,52,,745,,3228,,213,13411,12,1644,,,,,,,847,7896,1656,52,,1,,,,,5893.04,1854.93,unsat,18.72,0.93,0.13,0.35,0.09,0.32,13.85,5.43,,0.10,0.12,0.03,0.40,17.87,7.69,9.97,1.08,0.19,2.48,0.02,,0.02,0.21
chc-lia-lin-0302.smt2,29,8,114,,60,2,27,27,,531,178,943,22,181,5053,162,884,,83,262,7,,,657,2602,1017,41,27,16,167,2,9824,171,2244.80,884.66,unsat,70.90,1.36,0.29,0.55,0.12,0.55,62.79,42.37,10.27,0.22,0.06,0.02,0.36,70.13,8.27,61.72,1.15,1.47,11.60,35.53,0.00,35.53,0.75
chc-lia-lin-0303.smt2,,549,492,30,241,3,51,51,2,326,900,6086,50,1123,27956,548,3001,,684,588,79,,,2999,16155,4267,84,378,79,370,57,9095,83,17660.88,6862.62,sat,524.77,8.38,1.27,4.01,0.97,2.37,432.03,217.53,23.44,2.54,0.07,0.03,1.78,501.57,103.37,397.90,6.48,23.06,104.70,84.72,0.01,84.72,8.25
