index,SPACER_cex_depth,SPACER_cluster_out_of_gas,SPACER_expand_pob_undef,SPACER_inductive_level,SPACER_max_cluster_size,SPACER_max_cvx_reduced_dim,SPACER_max_depth,SPACER_max_query_lvl,SPACER_need_sage,SPACER_num_active_lemmas,SPACER_num_cant_abstract,SPACER_num_ctp_blocked,SPACER_num_dim_reduction_success,SPACER_num_invariants,SPACER_num_is_invariant,SPACER_num_lemma_jumped,SPACER_num_lemmas,SPACER_num_mbp_failed,SPACER_num_merge_gen,SPACER_num_merge_gen_failed,SPACER_num_merge_gen_success,SPACER_num_no_over_approximate,SPACER_num_non_lin,SPACER_num_pobs,SPACER_num_propagations,SPACER_num_queries,SPACER_num_reach_queries,SPACER_num_refinements,SPACER_num_reuse_reach_facts,SPACER_num_sync_cvx_cls,SPACER_pob_out_of_gas,SPACER_wide_attmpts,SPACER_wide_success,max_memory,memory,result,time,time_iuc_solver_get_iuc,time_iuc_solver_get_iuc_hyp_reduce1,time_iuc_solver_get_iuc_hyp_reduce2,time_iuc_solver_get_iuc_learn_core,time_pool_solver_proof,time_pool_solver_smt_total,time_pool_solver_smt_total_sat,time_pool_solver_smt_total_undef,time_spacer_ctp,time_spacer_init_rules,time_spacer_init_rules_pt_init,time_spacer_mbp,time_spacer_solve,time_spacer_solve_propagate,time_spacer_solve_reach,time_spacer_solve_reach_children,time_spacer_solve_reach_cluster,time_spacer_solve_reach_gen_bool_ind,time_spacer_solve_reach_gen_merge,time_spacer_solve_reach_gen_merge_cvx_cls,time_spacer_solve_reach_gen_wide,time_spacer_solve_reach_is_reach
chc-lia-lin-0176.smt2,2,,2,,,,2,2,,21,,,,,21,,22,,,,,,,22,,22,2,,1,,,,,118.76,51.01,unsat,0.92,0.01,0.00,0.00,0.00,0.00,0.75,0.07,0.65,,0.01,0.00,0.01,0.81,0.21,0.59,0.02,0.00,0.00,0.00,,0.00,0.27
chc-lia-lin-0177.smt2,2,,2,,,,2,2,,21,,,,,21,,22,,,,,,,22,,22,2,,2,,,,,118.56,50.30,unsat,1.06,0.01,0.00,0.00,0.00,0.00,0.88,0.07,0.78,,0.01,0.00,0.01,0.94,0.23,0.70,0.02,0.00,0.00,0.00,,0.00,0.03
chc-lia-lin-0178.smt2,2,,2,,,,2,2,,3,,,,1,5,,4,,,,,,,4,3,4,2,,1,,,,,83.76,29.89,unsat,0.32,0.00,0.00,0.00,0.00,0.00,0.19,0.03,0.14,,0.01,0.00,0.01,0.22,0.09,0.13,0.01,0.00,0.00,0.00,,0.00,0.03
chc-lia-lin-0179.smt2,,,,19,1,1,39,39,,157,22,2705,,363,13042,23,1430,,,,,,,188,6886,1393,,,,,,,,1306.16,836.50,sat,301.26,11.25,0.80,7.05,0.56,2.91,276.74,213.64,,1.52,0.00,0.00,0.24,299.93,95.01,204.76,1.43,6.27,144.55,0.14,0.00,0.14,
chc-lia-lin-0180.smt2,,,,,1,,35,34,,797,11,3909,,,11610,25,2140,,,,,,,293,3645,2105,,,,,,,,351.14,334.61,timeout,598.42,19.83,1.39,12.36,0.96,5.24,525.75,441.52,0.14,2.57,0.00,0.00,0.37,568.42,128.07,440.22,2.51,14.02,321.18,0.25,,0.25,
chc-lia-lin-0181.smt2,1,,,,,,1,1,,1,,,,,,,1,,,,,,,1,,,1,,1,,,,,33.32,10.03,unsat,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,0.00,0.00,0.01,,0.01,,0.00,,,,,
chc-lia-lin-0182.smt2,1,,,,,,1,1,,1,,,,,,,1,,,,,,,1,,,1,,1,,,,,33.32,10.12,unsat,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,0.00,0.00,0.01,,0.01,,0.00,,,,,
chc-lia-lin-0183.smt2,1,,,,,,1,1,,1,,,,,,,1,,,,,,,1,,,1,,1,,,,,33.36,10.08,unsat,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,0.00,0.00,0.01,,0.01,,0.00,,,,,
chc-lia-lin-0184.smt2,1,,,,,,1,1,,1,,,,,,,1,,,,,,,1,,,1,,1,,,,,33.36,10.12,unsat,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,0.00,0.00,0.01,,0.01,,0.00,,,,,
chc-lia-lin-0185.smt2,1,,,,,,1,1,,1,,,,,,,1,,,,,,,1,,,1,,1,,,,,33.28,10.08,unsat,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,0.00,0.00,0.01,,0.01,,0.00,,,,,
chc-lia-lin-0186.smt2,1,,,,,,1,1,,1,,,,,,,1,,,,,,,1,,,1,,1,,,,,33.32,10.08,unsat,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,0.00,0.00,0.01,,0.01,,0.00,,,,,
chc-lia-lin-0187.smt2,1,,,,,,1,1,,1,,,,,,,1,,,,,,,1,,,1,,1,,,,,33.72,10.09,unsat,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,0.00,0.00,0.01,,0.01,,0.00,,,,,
chc-lia-lin-0188.smt2,,,5,1,,,2,2,,34,,,,33,75,,49,,,,,,,27,46,46,,,,,,,,301.64,179.79,sat,6.94,0.75,0.29,0.56,0.02,0.11,3.11,0.08,0.67,0.00,0.01,0.01,0.02,3.96,0.17,3.78,0.05,0.02,0.53,0.00,,0.00,
chc-lia-lin-0189.smt2,,4,,,12,1,57,56,,747,,4972,,240,20102,34,1625,,25,40,,,,306,9753,1544,,34,,,,,,360.17,350.25,timeout,598.85,18.02,1.24,10.91,0.70,5.29,542.13,410.61,,3.57,0.00,0.00,0.26,579.11,233.34,345.53,1.92,9.10,239.54,7.58,0.00,7.58,
chc-lia-lin-0190.smt2,1,,,,,,1,1,,1,,,,,,,1,,,,,,,1,,,1,,1,,,,,33.56,10.10,unsat,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,0.00,0.00,0.01,,0.01,,0.00,,,,,
chc-lia-lin-0191.smt2,,,18,1,,,2,2,,49,,,,55,119,,81,,,,,,,49,79,78,,,,,,,,873.28,602.24,sat,62.14,5.34,1.70,3.78,0.46,0.70,20.75,0.32,5.16,,0.01,0.01,0.07,26.41,2.95,23.45,0.16,0.05,3.99,0.00,,0.00,
chc-lia-lin-0192.smt2,1,,,,,,1,1,,1,,,,,,,1,,,,,,,1,,,1,,1,,,,,34.32,10.12,unsat,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,0.00,0.00,0.01,,0.01,,0.00,,,,,
chc-lia-lin-0193.smt2,2,,4,,,,2,2,,21,,,,,21,,22,,,,,,,22,,22,2,,1,,,,,108.04,46.80,unsat,0.96,0.01,0.00,0.00,0.00,0.00,0.79,0.08,0.67,,0.01,0.00,0.02,0.85,0.13,0.72,0.03,0.00,0.00,0.00,,0.00,0.16
