index,SPACER_cex_depth,SPACER_cluster_out_of_gas,SPACER_expand_pob_undef,SPACER_inductive_level,SPACER_max_cluster_size,SPACER_max_cvx_reduced_dim,SPACER_max_depth,SPACER_max_query_lvl,SPACER_need_sage,SPACER_num_active_lemmas,SPACER_num_cant_abstract,SPACER_num_ctp_blocked,SPACER_num_dim_reduction_success,SPACER_num_invariants,SPACER_num_is_invariant,SPACER_num_lemma_jumped,SPACER_num_lemmas,SPACER_num_mbp_failed,SPACER_num_merge_gen,SPACER_num_merge_gen_failed,SPACER_num_merge_gen_success,SPACER_num_no_over_approximate,SPACER_num_non_lin,SPACER_num_pobs,SPACER_num_propagations,SPACER_num_queries,SPACER_num_reach_queries,SPACER_num_refinements,SPACER_num_reuse_reach_facts,SPACER_num_sync_cvx_cls,SPACER_num_under_approximations,SPACER_pob_out_of_gas,SPACER_wide_attmpts,SPACER_wide_success,max_memory,memory,result,time,time_iuc_solver_get_iuc,time_iuc_solver_get_iuc_hyp_reduce1,time_iuc_solver_get_iuc_hyp_reduce2,time_iuc_solver_get_iuc_learn_core,time_pool_solver_proof,time_pool_solver_smt_total,time_pool_solver_smt_total_sat,time_pool_solver_smt_total_undef,time_spacer_ctp,time_spacer_init_rules,time_spacer_init_rules_pt_init,time_spacer_mbp,time_spacer_solve,time_spacer_solve_propagate,time_spacer_solve_reach,time_spacer_solve_reach_children,time_spacer_solve_reach_cluster,time_spacer_solve_reach_gen_bool_ind,time_spacer_solve_reach_gen_merge,time_spacer_solve_reach_gen_merge_cvx_cls,time_spacer_solve_reach_gen_wide,time_spacer_solve_reach_is_reach
chc-lia-0234.smt2,,565,418,128,34,2,130,130,,177,,1971,24,116,12656,41,1771,,42,194,,,,504,6640,1853,,725,,3,,12,1647,18,908.68,546.44,sat,82.30,2.84,0.42,1.14,0.33,1.06,70.20,29.50,17.73,0.35,0.01,0.01,0.82,81.83,26.00,55.16,2.11,1.78,9.58,14.71,0.00,14.71,0.15
chc-lia-0235.smt2,,,,,1,,53,52,,521,3,4264,,,18315,38,1532,,,,,,,149,8353,1488,,,,,,,,,327.79,316.14,timeout,598.44,10.58,0.98,6.50,0.70,2.65,535.39,408.77,0.20,2.53,0.00,0.00,0.29,562.18,276.22,285.76,1.54,8.58,204.98,0.16,,0.16,
chc-lia-0236.smt2,,,,,1,,35,34,,790,3,3940,,,14642,12,2017,,,,,,,316,5732,1983,,,,,,,,,369.88,367.96,timeout,598.43,17.03,1.42,10.28,0.86,4.85,529.64,425.79,,3.60,0.00,0.00,0.39,573.23,185.30,387.80,2.51,16.62,272.91,0.20,,0.20,
chc-lia-0237.smt2,18,3,,,1,,18,18,,19,,32,,,50,,52,,,,,,,21,,51,18,1,1,,,,,,83.28,32.07,unsat,0.68,0.05,0.01,0.02,0.00,0.03,0.26,0.17,,0.00,0.01,0.00,0.04,0.50,0.03,0.41,0.06,0.01,0.04,0.01,,0.01,0.09
chc-lia-0238.smt2,,,,1,,,1,1,,7,,,,5,11,,8,,,,,,,7,9,6,,,,,,,,,53.20,25.30,sat,0.12,0.00,0.00,0.00,0.00,0.00,0.04,0.02,,,0.01,0.00,0.00,0.05,0.02,0.03,0.00,0.00,0.00,0.00,,0.00,
chc-lia-0240.smt2,,,,19,,,41,41,,162,,2905,,375,12894,27,1534,,,,,,,196,7053,1493,,,,,,,,,1291.92,861.05,sat,335.83,11.30,0.79,6.93,0.56,3.09,310.94,235.38,,1.46,0.00,0.00,0.27,334.66,93.02,241.50,1.57,6.73,172.65,0.00,,0.00,
chc-lia-0241.smt2,,,,,1,1,35,34,,808,5,3711,,,13104,7,1946,,,,,,,317,4888,1913,,,,,,,,,364.69,362.63,timeout,598.55,14.62,1.21,8.84,0.82,4.03,502.10,411.64,,3.21,0.00,0.00,0.39,541.22,169.60,371.49,2.46,15.17,265.09,0.37,0.00,0.37,
chc-lia-0242.smt2,,3,,,1,1,34,33,,786,,3716,,,11590,29,1978,,,,,,,289,3734,1947,,13,,,,,,,360.49,340.24,timeout,598.69,18.99,1.32,11.52,0.92,5.36,478.24,400.32,0.03,2.70,0.00,0.00,0.36,517.96,126.99,390.85,2.32,12.19,283.99,0.30,0.00,0.30,
chc-lia-0243.smt2,,,,1,3,1,4,4,,11,2,5,,9,24,,24,,1,2,,,,15,7,18,,,,,,,36,,100.24,42.78,sat,0.41,0.03,0.00,0.01,0.00,0.01,0.21,0.15,,0.00,0.01,0.01,0.01,0.30,0.04,0.25,0.02,0.00,0.04,0.06,0.00,0.06,
chc-lia-0244.smt2,20,20,8,,1,,20,20,,70,,95,,4,424,,126,,,,,,,81,148,125,20,8,2,,,,,,206.20,87.35,unsat,2.47,0.13,0.02,0.04,0.01,0.06,1.39,0.87,0.10,0.01,0.01,0.01,0.18,2.20,0.48,1.64,0.34,0.04,0.26,0.05,,0.05,0.21
