index,SPACER_cluster_out_of_gas,SPACER_expand_pob_undef,SPACER_inductive_level,SPACER_max_cluster_size,SPACER_max_cvx_reduced_dim,SPACER_max_depth,SPACER_max_query_lvl,SPACER_need_sage,SPACER_num_abstractions,SPACER_num_abstractions_failed,SPACER_num_abstractions_success,SPACER_num_active_lemmas,SPACER_num_cant_abstract,SPACER_num_ctp_blocked,SPACER_num_dim_reduction_success,SPACER_num_invariants,SPACER_num_is_invariant,SPACER_num_lemma_jumped,SPACER_num_lemmas,SPACER_num_mbp_failed,SPACER_num_merge_gen,SPACER_num_merge_gen_failed,SPACER_num_merge_gen_success,SPACER_num_no_over_approximate,SPACER_num_non_lin,SPACER_num_pobs,SPACER_num_propagations,SPACER_num_queries,SPACER_num_reach_queries,SPACER_num_refinements,SPACER_num_reuse_reach_facts,SPACER_num_sync_cvx_cls,SPACER_num_under_approximations,SPACER_pob_out_of_gas,SPACER_wide_attmpts,SPACER_wide_success,max_memory,memory,result,time,time_iuc_solver_get_iuc,time_iuc_solver_get_iuc_hyp_reduce1,time_iuc_solver_get_iuc_hyp_reduce2,time_iuc_solver_get_iuc_learn_core,time_pool_solver_proof,time_pool_solver_smt_total,time_pool_solver_smt_total_sat,time_pool_solver_smt_total_undef,time_spacer_ctp,time_spacer_init_rules,time_spacer_init_rules_pt_init,time_spacer_mbp,time_spacer_solve,time_spacer_solve_propagate,time_spacer_solve_pt_must_reachable,time_spacer_solve_reach,time_spacer_solve_reach_children,time_spacer_solve_reach_cluster,time_spacer_solve_reach_gen_bool_ind,time_spacer_solve_reach_gen_merge,time_spacer_solve_reach_gen_merge_cvx_cls,time_spacer_solve_reach_gen_wide,time_spacer_solve_reach_is_reach
chc-lia-0102.smt2,,,,4,2,16,16,,3,2,1,135,31,159,12,42,859,7,213,,25,78,24,,,166,401,200,28,14,24,1,,,49,4,197.36,120.71,sat,5.49,0.42,0.14,0.23,0.03,0.13,4.02,2.55,,0.06,0.00,0.00,0.08,5.38,1.17,,4.13,0.18,0.30,1.92,0.29,0.00,0.29,0.11
chc-lia-0103.smt2,,,13,5,3,16,16,5,11,6,9,146,49,173,33,86,1360,3,297,,27,106,27,,,270,691,296,43,5,27,11,,1,122,14,259.36,155.98,sat,9.56,0.70,0.21,0.37,0.05,0.22,7.26,4.94,0.00,0.09,0.00,0.00,0.12,9.40,1.88,,7.45,0.29,0.45,3.44,0.78,0.00,0.78,0.23
chc-lia-0104.smt2,,,25,8,2,52,52,,2,,,128,1,893,35,179,3278,120,700,,64,149,29,,,235,1710,817,,52,,7,,12,28,3,419.96,273.30,sat,23.69,1.69,0.29,0.88,0.14,0.54,18.55,13.10,0.76,0.11,0.00,0.00,0.12,23.40,3.52,,19.63,0.42,1.42,10.69,0.65,0.00,0.65,0.23
chc-lia-0107.smt2,,,,3,1,30,30,,1,,3,64,,312,2,74,1184,10,286,,2,31,,,,73,561,259,,,,,,,1,,143.96,89.49,sat,3.69,0.44,0.07,0.22,0.04,0.14,2.48,1.71,0.01,0.02,0.00,0.00,0.03,3.60,0.63,,2.86,0.10,0.24,1.43,0.03,0.00,0.03,
chc-lia-0109.smt2,,50,,156,4,13,12,427,20,11,16,1603,9,484,58,184,5299,136,1775,,274,341,206,86,781,1813,1868,1507,220,50,217,490,293,1,176,22,,741.03,timeout,598.02,10.84,4.57,7.40,0.78,2.00,477.66,369.84,28.19,2.35,0.00,0.00,0.33,533.15,130.55,,402.55,2.62,18.58,218.42,47.46,0.01,47.46,9.44
chc-lia-0110.smt2,,,,4,1,10,10,,,,,24,4,31,9,41,139,9,85,,3,15,,,,51,53,73,,,,,,,12,3,87.72,49.81,sat,1.40,0.13,0.05,0.07,0.01,0.03,0.95,0.57,,0.00,0.00,0.00,0.03,1.35,0.11,,1.20,0.06,0.07,0.61,0.10,0.00,0.10,
chc-lia-0111.smt2,,,,4,1,10,10,,,,,24,4,31,9,41,139,9,85,,3,15,,,,51,53,73,,,,,,,12,3,87.72,49.81,sat,1.40,0.13,0.05,0.07,0.01,0.03,0.95,0.57,,0.00,0.00,0.00,0.03,1.34,0.11,,1.19,0.06,0.07,0.61,0.09,0.00,0.09,
chc-lia-0112.smt2,,,,4,1,46,46,,34,19,10,59,2,416,2,149,2573,16,474,,6,41,1,,,112,1468,474,43,4,19,,,7,,,343.72,224.96,sat,14.13,1.47,0.25,0.76,0.12,0.48,10.68,7.86,,0.06,0.00,0.00,0.07,13.92,2.71,,11.00,0.22,0.69,5.85,0.15,0.00,0.15,0.20
chc-lia-0113.smt2,,865,,32,3,73,72,103,271,143,5,569,269,1160,301,,6994,141,1158,,353,315,40,8,6,967,3720,1480,168,298,163,113,19,43,24,,,448.44,timeout,598.35,5.54,0.90,2.53,0.50,2.14,152.68,71.05,57.97,0.51,0.00,0.00,0.27,169.86,39.84,,129.65,1.15,4.33,62.45,18.02,0.00,18.02,8.86
chc-lia-0114.smt2,,3,18,6,3,55,55,4,82,38,3,90,3,1358,35,198,5087,40,677,,75,183,41,,,446,2747,963,115,49,78,4,,57,2,1,531.68,334.63,sat,37.77,2.17,0.33,0.97,0.18,0.87,31.36,22.52,0.05,0.16,0.00,0.00,0.16,37.41,7.58,,29.57,0.55,1.56,14.73,1.19,0.00,1.19,1.32
