index,SPACER_cluster_out_of_gas,SPACER_expand_pob_undef,SPACER_inductive_level,SPACER_max_cluster_size,SPACER_max_cvx_reduced_dim,SPACER_max_depth,SPACER_max_query_lvl,SPACER_need_sage,SPACER_num_abstractions,SPACER_num_abstractions_failed,SPACER_num_abstractions_success,SPACER_num_active_lemmas,SPACER_num_cant_abstract,SPACER_num_ctp_blocked,SPACER_num_dim_reduction_success,SPACER_num_invariants,SPACER_num_is_invariant,SPACER_num_lemma_jumped,SPACER_num_lemmas,SPACER_num_mbp_failed,SPACER_num_merge_gen,SPACER_num_merge_gen_failed,SPACER_num_merge_gen_success,SPACER_num_no_over_approximate,SPACER_num_non_lin,SPACER_num_pobs,SPACER_num_propagations,SPACER_num_queries,SPACER_num_reach_queries,SPACER_num_refinements,SPACER_num_reuse_reach_facts,SPACER_num_sync_cvx_cls,SPACER_num_under_approximations,SPACER_pob_out_of_gas,SPACER_wide_attmpts,SPACER_wide_success,max_memory,memory,result,time,time_iuc_solver_get_iuc,time_iuc_solver_get_iuc_hyp_reduce1,time_iuc_solver_get_iuc_hyp_reduce2,time_iuc_solver_get_iuc_learn_core,time_pool_solver_proof,time_pool_solver_smt_total,time_pool_solver_smt_total_sat,time_pool_solver_smt_total_undef,time_spacer_ctp,time_spacer_init_rules,time_spacer_init_rules_pt_init,time_spacer_mbp,time_spacer_solve,time_spacer_solve_propagate,time_spacer_solve_pt_must_reachable,time_spacer_solve_reach,time_spacer_solve_reach_children,time_spacer_solve_reach_cluster,time_spacer_solve_reach_gen_bool_ind,time_spacer_solve_reach_gen_merge,time_spacer_solve_reach_gen_merge_cvx_cls,time_spacer_solve_reach_gen_wide,time_spacer_solve_reach_is_reach
chc-lia-0274.smt2,,,2,,,4,4,,,,,14,,3,,8,30,,21,,,,,,,8,12,16,,,,,,,,,633.88,294.23,sat,3.37,0.15,0.01,0.04,0.00,0.09,1.62,0.40,0.69,0.00,0.13,0.11,0.01,1.82,0.44,,1.36,0.02,0.00,0.00,0.00,,0.00,
chc-lia-0275.smt2,,,,16,,7,6,,22,,22,217,,68,,34,757,,267,,,,,,,204,310,259,,,,,,,,,,,,,0.50,0.06,0.16,0.05,0.25,11.03,2.34,5.71,0.00,0.17,0.12,0.20,12.28,2.02,,10.24,0.39,0.10,0.18,0.03,,0.03,0.47
chc-lia-0276.smt2,,61,,1,,4,4,,2,,2,100,2,15,,,138,,121,,,,,,,113,45,121,4,,1,,,,,,1321.56,472.65,unsat,14.98,0.25,0.02,0.06,0.01,0.16,11.74,3.37,6.55,0.00,0.13,0.10,0.26,12.80,2.14,,10.65,0.67,0.02,2.32,0.01,,0.01,0.10
chc-lia-0277.smt2,,,1,,,3,3,,,,,30,,1,,17,33,,37,,,,,,,27,14,33,,,,,,,,,998.88,405.80,sat,9.00,0.30,0.01,0.09,0.01,0.19,6.10,0.02,4.99,0.00,0.13,0.11,0.02,6.46,2.24,,4.21,0.03,0.00,0.93,0.00,,0.00,
chc-lia-0278.smt2,,308,,45,2,96,95,,309,,110,415,2,3481,90,101,9558,49,3811,,42,511,,,,2415,3407,9654,,2660,,11,,127,18802,33,,1023.29,timeout,583.10,5.43,0.98,2.48,0.91,1.13,514.07,390.42,17.21,0.55,0.23,0.14,7.52,578.83,38.03,,540.20,17.78,9.62,25.22,268.47,0.01,268.47,1.38
chc-lia-0279.smt2,,604,,55,1,60,59,,524,,731,510,,2327,,171,10351,7,2251,,48,62,,,,1638,5105,3358,,1183,,,,116,15156,10,,849.65,timeout,589.91,24.57,2.81,8.78,1.59,12.84,526.93,276.86,162.09,0.43,0.16,0.13,5.54,586.47,49.27,,536.87,10.03,6.37,4.98,345.22,0.00,345.22,12.48
chc-lia-0280.smt2,,149,,3,1,7,7,,16,,15,119,16,29,7,2,376,,156,,16,,,,,173,152,156,7,,5,,,,559,,1852.56,702.59,unsat,85.68,1.45,0.13,0.56,0.06,0.75,71.83,3.59,61.29,0.00,0.18,0.14,0.90,75.93,7.96,,67.93,1.98,0.12,15.17,31.09,0.00,31.09,1.27
chc-lia-0281.smt2,2313,314,,74,2,55,55,,928,2,363,2729,18,3373,87,89,16626,98,4482,,93,571,5,,,8384,8410,7793,61,130,7,14,,754,8723,10,8779.52,3175.19,unsat,495.82,14.37,1.79,5.87,1.51,5.36,393.47,223.84,82.89,0.39,0.18,0.13,19.44,487.57,36.78,,450.49,31.17,21.87,85.93,139.74,0.00,139.74,11.30
chc-lia-0282.smt2,,,6,,,8,8,,,,,67,,33,,50,508,,95,,,,,,,58,310,86,,,,,,,,,1320.32,519.55,sat,10.38,0.52,0.02,0.11,0.01,0.38,7.45,2.03,3.94,0.00,0.17,0.14,0.07,8.24,2.75,,5.46,0.16,0.00,0.52,0.00,,0.00,
chc-lia-0283.smt2,,,3,1,1,5,5,,1,,1,10,1,4,,9,41,,20,,,,,,,15,19,15,,,,,,,95,,1121.28,545.15,sat,20.50,0.79,0.04,0.27,0.01,0.48,13.71,0.09,10.84,0.00,0.20,0.18,0.02,14.61,2.54,,12.05,0.05,0.00,3.93,4.83,0.00,4.83,
