index,SPACER_expand_pob_undef,SPACER_inductive_level,SPACER_max_depth,SPACER_max_query_lvl,SPACER_num_active_lemmas,SPACER_num_ctp_blocked,SPACER_num_invariants,SPACER_num_is_invariant,SPACER_num_lemma_jumped,SPACER_num_lemmas,SPACER_num_pobs,SPACER_num_propagations,SPACER_num_queries,SPACER_num_reach_queries,SPACER_num_reuse_reach_facts,max_memory,memory,result,time,time_pool_solver_smt_total,time_pool_solver_smt_total_sat,time_pool_solver_smt_total_undef,time_spacer_ctp,time_spacer_init_rules,time_spacer_init_rules_pt_init,time_spacer_mbp,time_spacer_solve,time_spacer_solve_propagate,time_spacer_solve_pt_must_reachable,time_spacer_solve_reach,time_spacer_solve_reach_children,time_spacer_solve_reach_gen_bool_ind,time_spacer_solve_reach_is_reach
chc-lia-lin-0024.smt2,,,119,118,268,16192,,16670,6,6910,230,88,7853,1062,23,,180.25,timeout,594.04,560.31,401.61,17.48,3.29,0.00,0.00,7.06,590.98,6.03,,584.51,17.45,341.29,19.03
chc-lia-lin-0025.smt2,,,3,3,9,3,1,12,,13,9,4,12,3,1,33.76,9.12,unsat,0.05,0.02,0.01,,0.00,0.00,0.00,0.00,0.03,0.00,,0.02,0.00,0.00,0.00
chc-lia-lin-0026.smt2,,,,1,2,,2,1,1,3,2,1,1,,,17.92,6.81,sat,0.02,0.00,0.00,,,0.00,0.00,0.00,0.01,0.00,,0.01,0.00,0.00,
chc-lia-lin-0027.smt2,,,2,2,3,,2,2,,5,2,,2,,,16.92,6.38,sat,0.02,0.00,0.00,,,0.00,0.00,0.00,0.01,0.00,,0.01,0.00,0.00,
chc-lia-lin-0028.smt2,,,,129,133,8627,,8762,,8388,129,,8258,,,,156.17,timeout,594.00,547.28,347.91,0.01,0.92,0.00,0.00,8.61,578.78,2.14,,576.24,20.86,323.92,
chc-lia-lin-0029.smt2,,,102,102,404,5150,204,16056,,5457,204,10504,5354,,,1111.60,861.11,sat,199.66,189.22,20.43,0.01,0.44,0.00,0.00,1.94,198.71,142.32,,56.09,4.63,5.77,
chc-lia-lin-0030.smt2,,,1,1,1,,,,,1,1,,,1,1,25.40,5.99,unsat,0.02,0.00,0.00,,,0.00,0.00,0.00,0.00,,,0.00,,,
chc-lia-lin-0031.smt2,,,,1,3,,3,2,,4,3,2,2,,,17.32,6.61,sat,0.02,0.00,0.00,,,0.00,0.00,0.00,0.01,0.00,,0.00,0.00,0.00,
chc-lia-lin-0032.smt2,,,2,2,3,1,2,4,,6,3,1,3,,,17.68,6.96,sat,0.02,0.01,0.00,,0.00,0.00,0.00,0.00,0.01,0.00,,0.01,0.00,0.00,
chc-lia-lin-0033.smt2,,,,4,5,7,,12,,13,4,,8,,,,13.94,timeout,599.99,0.05,0.04,,0.00,0.00,0.00,0.00,0.07,0.01,,0.05,0.00,0.01,
chc-lia-lin-0034.smt2,,,101,101,202,5059,102,10300,,5253,102,4953,5151,,,632.36,457.91,sat,174.25,165.46,59.36,,0.41,0.00,0.00,0.96,173.87,52.63,,120.93,3.37,59.57,
chc-lia-lin-0035.smt2,,,101,101,202,5051,102,10300,,5253,102,4953,5151,,,626.52,456.66,sat,187.00,177.54,65.55,,0.43,0.00,0.00,1.03,186.60,53.91,,132.37,3.60,67.02,
chc-lia-lin-0036.smt2,,,9,9,17,26,10,71,,44,9,23,34,,,25.64,12.70,sat,0.12,0.06,0.03,,0.00,0.00,0.00,0.00,0.10,0.01,,0.07,0.01,0.03,
chc-lia-lin-0037.smt2,,,4,4,14,3,,14,,18,12,,17,4,1,44.88,12.60,unsat,0.07,0.02,0.01,,0.00,0.00,0.00,0.00,0.04,0.00,,0.03,0.00,0.00,0.00
chc-lia-lin-0038.smt2,,,3,3,11,4,6,22,,16,8,9,12,,,22.36,9.39,sat,0.06,0.03,0.01,,0.00,0.00,0.00,0.00,0.04,0.01,,0.03,0.00,0.01,
chc-lia-lin-0039.smt2,,,7,7,35,16,27,179,3,57,28,117,50,,,42.16,23.62,sat,0.35,0.24,0.13,,0.00,0.00,0.00,0.01,0.31,0.09,,0.20,0.02,0.11,
chc-lia-lin-0040.smt2,,,,114,284,4373,1,17858,27,4336,181,7507,4249,,,,184.74,timeout,595.51,567.98,372.52,,1.58,0.00,0.00,0.80,578.31,129.40,,448.55,2.92,285.04,
chc-lia-lin-0041.smt2,,,,,,,,,,,,,,,,,3.66,sat,0.00,,,,,0.00,,,,,,,,,
chc-lia-lin-0042.smt2,,,4,4,12,11,8,37,,24,8,16,19,,,22.60,9.90,sat,0.07,0.04,0.02,,0.00,0.00,0.00,0.00,0.06,0.01,,0.04,0.00,0.01,
chc-lia-lin-0043.smt2,,,7,7,29,28,,73,,53,22,5,52,7,1,37.92,13.83,unsat,0.20,0.12,0.09,,0.00,0.00,0.00,0.01,0.18,0.02,,0.14,0.02,0.06,0.01
chc-lia-lin-0045.smt2,,,23,22,627,3395,2,5098,37,3236,461,448,3248,35,35,,366.63,timeout,596.65,449.75,310.34,15.34,1.24,0.00,0.00,0.65,458.23,28.90,,429.26,3.95,285.34,0.55
chc-lia-lin-0046.smt2,,,,24,558,4179,,4739,,4695,556,,4670,,,,224.72,timeout,595.76,523.87,368.67,,0.58,0.00,0.00,1.46,534.20,9.92,,524.21,5.55,302.76,
chc-lia-lin-0047.smt2,,,8,8,15,27,9,61,,38,12,14,29,,,22.80,10.65,sat,0.10,0.04,0.02,,0.00,0.00,0.00,0.00,0.08,0.01,,0.05,0.01,0.02,
chc-lia-lin-0048.smt2,,,9,9,15,18,6,60,,36,10,23,27,,,23.08,10.79,sat,0.10,0.04,0.02,,0.00,0.00,0.00,0.00,0.09,0.01,,0.05,0.01,0.02,
chc-lia-lin-0049.smt2,,,1,1,1,,,,,1,1,,,1,1,25.40,6.04,unsat,0.02,0.00,0.00,,,0.00,0.00,0.00,0.00,,,0.00,,,
chc-lia-lin-0050.smt2,,,,85,309,4885,,13995,133,3383,201,5698,3324,,,,188.88,timeout,596.12,537.64,375.82,,1.42,0.00,0.00,0.59,546.85,91.87,,454.72,2.56,349.10,
chc-lia-lin-0051.smt2,,,1,1,1,,,,,1,1,,,1,1,25.76,6.28,unsat,0.02,0.00,0.00,,,0.00,0.00,0.00,0.00,,,0.00,,,
chc-lia-lin-0052.smt2,,,1,1,1,,,,,1,1,,,1,1,25.72,6.24,unsat,0.02,0.00,0.00,,,0.00,0.00,0.00,0.00,,,0.00,,,
chc-lia-lin-0053.smt2,,,1,1,1,,,,,1,1,,,1,1,25.72,6.24,unsat,0.02,0.00,0.00,,,0.00,0.00,0.00,0.00,,,0.00,,,
chc-lia-lin-0054.smt2,,,6,6,7,13,7,23,,24,7,,17,,,27.36,11.20,sat,0.09,0.05,0.03,,0.00,0.00,0.00,0.00,0.08,0.01,,0.05,0.01,0.03,
chc-lia-lin-0055.smt2,,,,87,533,9161,,20151,76,3216,219,7159,3132,,,,269.50,timeout,596.81,534.43,386.77,,2.08,0.00,0.00,0.61,543.63,136.08,,407.28,2.42,297.77,
chc-lia-lin-0056.smt2,,,7,7,19,29,13,50,,54,13,6,46,,,28.96,14.09,sat,0.20,0.12,0.06,,0.00,0.00,0.00,0.01,0.18,0.01,,0.15,0.02,0.05,
chc-lia-lin-0057.smt2,,,5,5,6,5,4,16,,15,5,4,10,,,23.68,8.93,sat,0.05,0.01,0.00,,0.00,0.00,0.00,0.00,0.03,0.00,,0.02,0.00,0.00,
chc-lia-lin-0058.smt2,,,9,8,441,260,9,1122,6,601,384,177,625,9,8,,402.36,timeout,598.15,159.77,79.41,18.16,0.15,0.00,0.00,0.28,161.58,28.78,,132.77,0.83,57.58,2.21
chc-lia-lin-0059.smt2,,,11,10,717,518,14,2835,13,1026,707,766,1076,11,9,,435.56,timeout,598.15,561.33,270.12,62.07,1.01,0.00,0.00,0.70,566.19,130.93,,435.22,2.20,161.86,14.60
chc-lia-lin-0060.smt2,,,2,2,4,,3,6,,6,3,3,3,,,22.48,8.21,sat,0.03,0.01,0.00,,0.00,0.00,0.00,0.00,0.01,0.00,,0.01,0.00,0.00,
chc-lia-lin-0061.smt2,,,27,27,45,194,42,708,1,217,31,271,191,,,65.68,41.78,sat,1.22,0.91,0.59,,0.01,0.00,0.00,0.02,1.18,0.26,,0.83,0.06,0.46,
chc-lia-lin-0062.smt2,,,16,16,28,62,17,179,,85,19,64,69,,,36.08,20.43,sat,0.33,0.21,0.13,,0.00,0.00,0.00,0.01,0.31,0.04,,0.22,0.02,0.11,
chc-lia-lin-0063.smt2,,11,12,12,49,19,33,313,18,146,79,160,148,13,9,70.60,42.60,sat,1.31,1.07,0.49,0.14,0.01,0.00,0.00,0.03,1.25,0.25,,0.96,0.06,0.42,0.02
chc-lia-lin-0064.smt2,,,79,78,515,6986,38,26340,317,6229,505,8564,6150,,,,332.12,timeout,595.47,539.45,173.40,32.98,1.85,0.00,0.00,1.59,552.24,99.58,,452.37,4.69,103.33,
chc-lia-lin-0065.smt2,,,3,3,5,3,3,6,,9,3,,5,,,22.40,8.23,sat,0.03,0.01,0.00,,0.00,0.00,0.00,0.00,0.02,0.00,,0.01,0.00,0.00,
chc-lia-lin-0066.smt2,,,,80,173,6705,6,7214,,6571,169,181,6490,,,,172.82,timeout,594.80,556.63,233.14,,0.48,0.01,0.00,3.59,572.57,3.96,,568.36,9.16,197.79,
chc-lia-lin-0067.smt2,,,3,3,5,3,3,6,,9,3,,5,,,22.80,8.30,sat,0.05,0.01,0.00,,0.00,0.00,0.00,0.00,0.02,0.00,,0.01,0.00,0.00,
chc-lia-lin-0068.smt2,,,15,15,93,245,118,1370,6,302,221,713,288,,,204.64,139.90,sat,9.65,8.80,6.83,,0.10,0.00,0.00,0.08,9.47,2.00,,7.43,0.24,5.67,
chc-lia-lin-0069.smt2,,,84,83,523,7521,6,20929,56,2969,124,8317,2888,,,,279.87,timeout,597.10,562.61,410.15,1.48,2.27,0.00,0.00,0.51,571.85,164.18,,407.38,2.15,312.67,
chc-lia-lin-0070.smt2,,,3,3,4,2,1,8,,7,4,3,6,3,1,27.96,7.64,unsat,0.04,0.01,0.00,,0.00,0.00,0.00,0.00,0.02,0.00,,0.01,0.00,0.00,0.00
chc-lia-lin-0071.smt2,,,3,3,11,9,6,15,,18,6,,14,,,24.24,9.47,sat,0.05,0.02,0.01,,0.00,0.00,0.00,0.00,0.03,0.00,,0.02,0.00,0.00,
chc-lia-lin-0072.smt2,,,,159,167,502,,12834,,5928,157,6264,5843,,,,185.56,timeout,595.17,572.63,369.43,,0.88,0.00,0.00,1.28,585.12,107.08,,477.54,4.09,297.00,
chc-lia-lin-0073.smt2,,,73,72,587,2874,,18508,31,3822,303,9107,3765,,,,262.38,timeout,596.88,550.02,386.68,9.96,2.36,0.00,0.00,0.65,560.58,145.95,,414.37,3.33,279.97,
chc-lia-lin-0074.smt2,,,,61,500,5044,67,14362,2,3261,306,6073,3204,,,,268.18,timeout,596.78,580.84,433.71,,1.75,0.00,0.00,0.66,590.08,96.47,,493.40,2.91,367.30,
chc-lia-lin-0075.smt2,,,15,15,29,83,16,196,,95,17,53,80,,,37.84,21.63,sat,0.37,0.24,0.15,,0.00,0.00,0.00,0.01,0.35,0.05,,0.25,0.02,0.13,
chc-lia-lin-0076.smt2,,,82,81,514,4308,180,21677,58,2778,163,13146,2712,,,,337.18,timeout,597.91,548.20,412.79,0.01,1.99,0.00,0.00,0.55,557.11,134.12,,422.72,2.19,329.13,
chc-lia-lin-0077.smt2,,,4,4,8,5,5,26,,12,5,13,8,,,22.00,9.38,sat,0.06,0.02,0.01,,0.00,0.00,0.00,0.00,0.04,0.01,,0.02,0.00,0.01,
chc-lia-lin-0078.smt2,,,1,1,1,,1,,,1,1,,,,,12.28,5.15,sat,0.01,0.00,,,,0.00,0.00,,0.00,0.00,,0.00,,,
chc-lia-lin-0079.smt2,,,1,1,1,,,,,1,1,,,1,1,26.16,6.56,unsat,0.02,0.00,0.00,,,0.00,0.00,0.00,0.00,,,0.00,,,
chc-lia-lin-0080.smt2,,,1,1,1,,,,,1,1,,,1,1,26.36,6.58,unsat,0.02,0.00,0.00,,,0.00,0.00,0.00,0.00,,,0.00,,,
chc-lia-lin-0081.smt2,,,1,1,1,,,,,1,1,,,1,1,26.32,6.58,unsat,0.02,0.00,0.00,,,0.00,0.00,0.00,0.00,,,0.00,,,
chc-lia-lin-0082.smt2,,,140,139,141,9833,,10007,,9870,140,,9730,,,,194.92,timeout,593.39,562.75,299.47,76.81,1.30,0.00,0.00,5.15,589.78,3.74,,585.58,16.20,271.14,
chc-lia-lin-0083.smt2,,,1,1,1,,,,,1,1,,,1,1,26.16,6.59,unsat,0.03,0.00,0.00,,,0.00,0.00,0.00,0.00,,,0.00,,,
chc-lia-lin-0084.smt2,,,,59,724,7591,8,18305,274,2437,298,7479,2380,,,,285.33,timeout,596.88,564.33,413.78,,2.45,0.00,0.00,0.48,573.36,159.97,,413.20,2.35,318.02,
chc-lia-lin-0085.smt2,,,27,27,60,387,67,1687,11,327,52,786,302,,,120.56,82.50,sat,3.98,3.33,2.18,0.02,0.05,0.00,0.00,0.05,3.89,1.29,,2.50,0.14,1.50,
chc-lia-lin-0086.smt2,,,22,21,784,951,504,2869,592,1349,620,1287,1335,8,3,,517.35,timeout,597.36,522.74,340.32,30.45,1.87,0.00,0.00,0.70,531.86,62.96,,468.82,4.89,339.45,0.27
chc-lia-lin-0087.smt2,,,25,25,74,340,64,1408,5,366,47,543,340,,,115.20,75.02,sat,3.39,2.82,1.91,,0.04,0.00,0.00,0.05,3.31,0.89,,2.34,0.14,1.36,
chc-lia-lin-0088.smt2,,,9,9,54,60,30,229,,113,42,81,104,,,60.80,38.31,sat,1.07,0.88,0.71,,0.01,0.00,0.00,0.01,1.02,0.11,,0.88,0.04,0.65,
chc-lia-lin-0089.smt2,,,3,3,4,2,1,8,,7,4,3,6,3,1,28.24,7.68,unsat,0.04,0.01,0.00,,0.00,0.00,0.00,0.00,0.02,0.00,,0.01,0.00,0.00,0.00
chc-lia-lin-0090.smt2,,,3,3,7,5,4,9,,12,4,,8,,,22.80,8.43,sat,0.04,0.01,0.00,,0.00,0.00,0.00,0.00,0.02,0.00,,0.01,0.00,0.00,
chc-lia-lin-0091.smt2,,,5,5,9,8,5,14,,16,5,,11,,,32.60,11.33,sat,0.06,0.02,0.01,,0.00,0.00,0.00,0.00,0.04,0.00,,0.02,0.00,0.00,
chc-lia-lin-0092.smt2,,,4,4,305,3,417,864,,428,422,852,423,,,419.32,284.08,sat,31.40,28.37,21.33,,0.00,0.00,0.00,0.09,29.42,3.08,,26.33,0.51,21.01,
chc-lia-lin-0093.smt2,,,21,21,28,141,19,283,1,158,16,68,140,,,44.84,25.53,sat,0.64,0.42,0.27,,0.00,0.00,0.00,0.02,0.61,0.07,,0.47,0.05,0.24,
chc-lia-lin-0094.smt2,,3,4,4,11,13,6,19,,22,9,,21,,,29.56,10.90,sat,0.12,0.06,0.03,0.01,0.00,0.01,0.00,0.00,0.09,0.00,,0.07,0.00,0.02,0.00
chc-lia-lin-0095.smt2,,,11,11,29,39,11,130,,71,18,40,59,,,38.72,22.27,sat,0.32,0.20,0.12,,0.00,0.00,0.00,0.01,0.29,0.04,,0.21,0.02,0.11,
chc-lia-lin-0096.smt2,,,5,5,8,6,4,13,,14,4,,9,,,28.32,10.26,sat,0.08,0.02,0.01,,0.00,0.01,0.00,0.00,0.05,0.00,,0.03,0.00,0.01,
chc-lia-lin-0097.smt2,,,1,1,1,,,,,1,1,,,1,1,26.24,6.64,unsat,0.03,0.00,0.00,,,0.00,0.00,0.00,0.00,,,0.00,,,
chc-lia-lin-0098.smt2,,8,20,20,58,290,87,1254,8,284,58,598,269,,,116.48,78.96,sat,3.27,2.72,1.47,0.37,0.04,0.00,0.00,0.04,3.16,0.84,,2.25,0.13,1.41,
chc-lia-lin-0099.smt2,,,18,18,30,63,13,180,2,89,11,56,73,,,40.44,23.06,sat,0.46,0.30,0.21,,0.00,0.00,0.00,0.01,0.43,0.06,,0.31,0.03,0.18,
chc-lia-lin-0100.smt2,,,,1,2,,2,1,,3,2,1,1,,,19.28,7.90,sat,0.03,0.01,0.00,,,0.00,0.00,0.00,0.01,0.00,,0.01,0.00,,
chc-lia-lin-0101.smt2,,,1,1,1,,,,,1,1,,,1,1,26.68,6.84,unsat,0.03,0.00,0.00,,,0.00,0.00,0.00,0.01,,,0.00,,,
chc-lia-lin-0102.smt2,,,,1,3,,3,,,4,3,,2,,,17.80,6.88,sat,0.03,0.00,0.00,,,0.00,0.00,0.00,0.01,0.00,,0.01,0.00,0.00,
chc-lia-lin-0103.smt2,,,106,105,335,7000,60,13876,342,4291,174,3808,4197,,,,171.90,timeout,594.51,565.87,401.59,21.67,1.62,0.00,0.00,0.95,577.24,62.00,,514.88,3.97,365.10,
chc-lia-lin-0104.smt2,,,72,71,494,6700,2,13301,3,4470,499,2926,4429,19,16,,197.91,timeout,595.65,569.00,353.62,104.62,1.57,0.00,0.00,0.89,579.46,65.09,,514.10,3.53,373.80,0.33
chc-lia-lin-0105.smt2,,,87,86,339,127,4,15960,,5387,255,8730,5342,,,,396.43,timeout,595.04,573.73,193.48,14.72,1.65,0.00,0.00,1.59,586.33,159.27,,426.75,5.09,100.87,
chc-lia-lin-0106.smt2,,,,54,811,8781,2,16728,58,3083,333,4747,3031,,,,232.19,timeout,595.93,543.33,429.17,,2.74,0.00,0.00,0.53,552.98,94.33,,458.48,2.79,348.71,
chc-lia-lin-0107.smt2,,,2,2,4,,3,6,,6,3,3,3,,,34.48,14.78,sat,0.06,0.02,0.00,,0.00,0.00,0.00,0.00,0.02,0.01,,0.01,0.00,0.00,
chc-lia-lin-0108.smt2,,,,1,3,,3,,,4,3,,2,,,17.92,6.97,sat,0.02,0.00,0.00,,,0.00,0.00,0.00,0.01,0.00,,0.00,0.00,0.00,
chc-lia-lin-0109.smt2,,,4,4,9,10,5,19,,18,5,4,13,,,28.72,10.74,sat,0.06,0.02,0.01,,0.00,0.00,0.00,0.00,0.03,0.00,,0.02,0.00,0.00,
chc-lia-lin-0110.smt2,,,,83,378,5489,,20014,45,3275,188,7423,3196,,,,254.90,timeout,595.95,579.19,409.09,,1.96,0.00,0.00,0.64,589.08,158.67,,430.15,2.76,306.52,
chc-lia-lin-0111.smt2,,,7,7,14,26,7,38,,33,7,,26,,,39.44,14.15,sat,0.09,0.03,0.02,,0.00,0.01,0.00,0.00,0.06,0.00,,0.04,0.00,0.01,
chc-lia-lin-0112.smt2,,,3,3,5,2,4,10,,10,4,5,6,,,38.04,16.18,sat,0.06,0.02,0.00,,0.00,0.01,0.00,0.00,0.03,0.00,,0.02,0.00,0.00,
chc-lia-lin-0113.smt2,,,3,3,9,,7,14,3,16,8,6,12,,,32.80,15.53,sat,0.16,0.12,0.09,,0.00,0.00,0.00,0.00,0.14,0.01,,0.12,0.00,0.09,
chc-lia-lin-0114.smt2,,12,26,26,69,339,60,1576,4,309,46,667,284,,,129.48,82.63,sat,3.78,3.21,2.20,0.01,0.04,0.00,0.00,0.04,3.68,1.09,,2.51,0.13,1.57,
chc-lia-lin-0115.smt2,,,,106,350,5726,48,16111,194,3769,181,6868,3682,,,,197.51,timeout,595.63,581.35,394.21,,1.74,0.00,0.00,0.78,591.73,118.95,,472.44,3.18,333.57,
chc-lia-lin-0116.smt2,,,,82,418,7190,,21216,48,2887,234,9149,2823,,,,264.47,timeout,596.79,551.50,371.94,,1.90,0.00,0.00,0.58,560.38,144.85,,415.27,2.65,288.24,
chc-lia-lin-0117.smt2,,,1,1,1,,,,,1,1,,,1,1,27.20,6.91,unsat,0.02,0.00,0.00,,,0.00,0.00,0.00,0.00,,,0.00,,,
chc-lia-lin-0118.smt2,,,57,56,815,7878,20,13059,8,3825,386,2177,3772,,,,233.40,timeout,596.68,539.54,437.09,4.29,2.96,0.00,0.00,0.70,550.98,58.92,,491.88,3.95,372.84,
chc-lia-lin-0119.smt2,,18,25,25,71,309,46,1269,5,256,108,497,311,66,66,123.04,79.08,sat,3.32,2.76,1.50,0.48,0.04,0.00,0.00,0.05,3.24,0.99,,2.17,0.14,1.24,0.06
chc-lia-lin-0120.smt2,,,,94,382,8337,75,16234,60,4030,176,4603,3937,,,,184.99,timeout,595.86,583.67,443.21,,2.15,0.00,0.00,0.86,595.18,59.00,,535.88,3.98,388.04,
chc-lia-lin-0121.smt2,,,1,1,1,,,,,1,1,,,1,1,27.84,7.49,unsat,0.02,0.00,0.00,,,0.00,0.00,0.00,0.00,,,0.00,,,
chc-lia-lin-0122.smt2,,,1,1,1,,,,,1,1,,,1,1,28.00,7.52,unsat,0.02,0.00,0.00,,,0.00,0.00,0.00,0.00,,,0.00,,,
chc-lia-lin-0123.smt2,,,6,6,12,9,8,31,1,23,8,12,16,,,31.36,12.43,sat,0.09,0.03,0.01,,0.00,0.00,0.00,0.00,0.06,0.01,,0.03,0.00,0.00,
chc-lia-lin-0124.smt2,,,6,6,12,14,6,30,,25,6,4,19,,,35.52,13.35,sat,0.08,0.03,0.01,,0.00,0.00,0.00,0.00,0.05,0.01,,0.03,0.00,0.01,
chc-lia-lin-0125.smt2,,,7,7,23,33,9,138,,62,42,41,54,,,54.00,26.35,sat,1.09,0.94,0.77,,0.00,0.00,0.00,0.02,1.05,0.25,,0.78,0.05,0.43,
chc-lia-lin-0126.smt2,,,,13,857,799,36,4262,,952,906,1698,938,,,,336.38,timeout,598.73,369.64,340.56,,1.18,0.00,0.00,0.32,374.47,74.78,,299.65,1.73,260.49,
chc-lia-lin-0127.smt2,,,2,2,20,,20,22,,34,20,9,31,,,119.36,70.51,sat,1.47,0.84,0.05,0.23,,0.00,0.00,0.01,0.88,0.11,,0.77,0.02,0.15,
chc-lia-lin-0128.smt2,,,9,8,768,196,75,2400,6,859,765,888,851,,,,342.00,timeout,598.93,256.43,224.03,0.94,0.66,0.00,0.00,0.23,259.95,52.90,,207.03,1.24,181.22,
chc-lia-lin-0129.smt2,,,,13,1233,517,92,3474,18,1431,1223,867,1421,,,,349.47,timeout,598.22,213.53,186.41,,1.34,0.00,0.00,1.24,220.20,51.05,,169.12,3.57,131.00,
chc-lia-lin-0130.smt2,,,52,51,911,7150,168,16376,36,2807,351,5825,2764,6,3,,321.73,timeout,597.54,527.38,424.86,1.77,4.29,0.00,0.00,0.55,539.40,98.36,,440.86,3.70,344.92,0.01
chc-lia-lin-0131.smt2,,,1,1,1,,,,,1,1,,,1,1,28.72,7.53,unsat,0.02,0.00,0.00,,,0.00,0.00,0.00,0.00,,,0.00,,,
chc-lia-lin-0132.smt2,,,1,1,1,,,,,1,1,,,1,1,28.32,7.52,unsat,0.02,0.00,0.00,,,0.00,0.00,0.00,0.00,,,0.00,,,
chc-lia-lin-0133.smt2,,,1,1,1,,,,,1,1,,,1,1,28.32,7.52,unsat,0.02,0.00,0.00,,,0.00,0.00,0.00,0.00,,,0.00,,,
chc-lia-lin-0134.smt2,,,1,1,1,,,,,1,1,,,1,1,28.28,7.52,unsat,0.02,0.00,0.00,,,0.00,0.00,0.00,0.00,,,0.00,,,
chc-lia-lin-0135.smt2,,,1,1,1,,,,,1,1,,,1,1,28.32,7.52,unsat,0.02,0.00,0.00,,,0.00,0.00,0.00,0.00,,,0.00,,,
chc-lia-lin-0136.smt2,,,1,1,1,,,,,1,1,,,1,1,28.28,7.52,unsat,0.02,0.00,0.00,,,0.00,0.00,0.00,0.00,,,0.00,,,
chc-lia-lin-0137.smt2,,,1,1,1,,,,,1,1,,,1,1,28.08,7.46,unsat,0.02,0.00,0.00,,,0.00,0.00,0.00,0.00,,,0.00,,,
chc-lia-lin-0138.smt2,,,1,1,1,,1,,,1,1,,,,,12.56,5.37,sat,0.01,0.00,,,,0.00,0.00,,0.00,0.00,,0.00,,,
chc-lia-lin-0139.smt2,,,1,1,1,,,,,1,1,,,1,1,28.76,7.55,unsat,0.03,0.00,0.00,,,0.00,0.00,0.00,0.00,,,0.00,,,
chc-lia-lin-0140.smt2,,,7,7,17,17,8,40,,29,8,6,23,,,45.16,16.06,sat,0.09,0.03,0.02,,0.00,0.01,0.00,0.00,0.06,0.01,,0.04,0.00,0.01,
chc-lia-lin-0141.smt2,,,1,1,1,,,,,1,1,,,1,1,28.84,7.67,unsat,0.02,0.00,0.00,,,0.00,0.00,0.00,0.00,,,0.00,,,
chc-lia-lin-0142.smt2,,,1,1,1,,,,,1,1,,,1,1,28.84,7.67,unsat,0.02,0.00,0.00,,,0.00,0.00,0.00,0.00,,,0.00,,,
chc-lia-lin-0143.smt2,,,1,1,1,,,,,1,1,,,1,1,28.84,7.67,unsat,0.02,0.00,0.00,,,0.00,0.00,0.00,0.00,,,0.00,,,
chc-lia-lin-0144.smt2,,,1,1,1,,,,,1,1,,,1,1,29.76,7.97,unsat,0.03,0.00,0.00,,,0.00,0.00,0.00,0.01,,,0.00,,,
chc-lia-lin-0145.smt2,,,1,1,1,,,,,1,1,,,1,1,27.64,7.49,unsat,0.02,0.00,0.00,,,0.00,0.00,0.00,0.00,,,0.00,,,
chc-lia-lin-0146.smt2,,35,58,58,250,3126,261,13359,20,1705,255,6768,1685,25,1,923.12,604.51,sat,144.64,139.07,77.21,16.91,1.12,0.00,0.00,0.31,143.93,46.34,,97.38,1.62,67.16,0.31
chc-lia-lin-0147.smt2,,,27,27,64,234,30,1056,1,188,43,506,165,,,96.36,65.40,sat,1.48,1.15,0.69,,0.02,0.00,0.00,0.02,1.42,0.49,,0.86,0.07,0.49,
chc-lia-lin-0148.smt2,,,1,1,1,,,,,1,1,,,1,1,29.36,8.06,unsat,0.03,0.00,0.00,,,0.00,0.00,0.00,0.00,,,0.00,,,
chc-lia-lin-0149.smt2,,,1,1,1,,,,,1,1,,,1,1,29.40,8.05,unsat,0.03,0.00,0.00,,,0.00,0.00,0.00,0.00,,,0.00,,,
chc-lia-lin-0150.smt2,,,1,1,1,,,,,1,1,,,1,1,29.36,8.06,unsat,0.03,0.00,0.00,,,0.00,0.00,0.00,0.00,,,0.00,,,
chc-lia-lin-0151.smt2,,,1,1,1,,,,,1,1,,,1,1,29.36,8.06,unsat,0.03,0.00,0.00,,,0.00,0.00,0.00,0.00,,,0.00,,,
chc-lia-lin-0152.smt2,,,1,1,1,,,,,1,1,,,1,1,29.36,8.06,unsat,0.03,0.00,0.00,,,0.00,0.00,0.00,0.00,,,0.00,,,
chc-lia-lin-0153.smt2,,,2,2,28,,28,30,,50,28,9,47,,,151.92,92.58,sat,1.81,0.82,0.25,0.00,,0.00,0.00,0.01,0.88,0.09,,0.79,0.03,0.13,
chc-lia-lin-0154.smt2,,,1,1,1,,,,,1,1,,,1,1,29.44,8.14,unsat,0.03,0.00,0.00,,,0.00,0.00,0.00,0.01,,,0.00,,,
chc-lia-lin-0155.smt2,,,1,1,1,,,,,1,1,,,1,1,29.44,8.14,unsat,0.03,0.00,0.00,,,0.00,0.00,0.00,0.01,,,0.00,,,
chc-lia-lin-0156.smt2,,,1,1,1,,,,,1,1,,,1,1,29.36,8.10,unsat,0.03,0.00,0.00,,,0.00,0.00,0.00,0.00,,,0.00,,,
chc-lia-lin-0157.smt2,,,1,1,1,,,,,1,1,,,1,1,29.36,8.10,unsat,0.03,0.00,0.00,,,0.00,0.00,0.00,0.00,,,0.00,,,
chc-lia-lin-0158.smt2,,,1,1,1,,,,,1,1,,,1,1,30.04,8.29,unsat,0.03,0.00,0.00,,,0.00,0.00,0.00,0.01,,,0.00,,,
chc-lia-lin-0159.smt2,,,1,1,1,,,,,1,1,,,1,1,30.00,8.28,unsat,0.03,0.00,0.00,,,0.00,0.00,0.00,0.00,,,0.00,,,
