index,SPACER_expand_pob_undef,SPACER_inductive_level,SPACER_max_depth,SPACER_max_query_lvl,SPACER_num_active_lemmas,SPACER_num_ctp_blocked,SPACER_num_invariants,SPACER_num_is_invariant,SPACER_num_lemma_jumped,SPACER_num_lemmas,SPACER_num_pobs,SPACER_num_propagations,SPACER_num_queries,SPACER_num_reach_queries,SPACER_num_reuse_reach_facts,max_memory,memory,result,time,time_pool_solver_smt_total,time_pool_solver_smt_total_sat,time_pool_solver_smt_total_undef,time_spacer_ctp,time_spacer_init_rules,time_spacer_init_rules_pt_init,time_spacer_mbp,time_spacer_solve,time_spacer_solve_propagate,time_spacer_solve_pt_must_reachable,time_spacer_solve_reach,time_spacer_solve_reach_children,time_spacer_solve_reach_gen_bool_ind,time_spacer_solve_reach_is_reach
chc-lia-0382.smt2,,,3,2,15,1,,18,,18,15,1,15,,,,3228.08,timeout,597.39,475.31,0.15,325.96,0.00,9.43,8.46,0.04,475.41,162.61,,312.79,0.06,0.00,
chc-lia-0383.smt2,,,,1,2,,2,1,1,3,2,1,1,,,8578.36,2068.08,sat,107.07,0.05,0.00,,,3.30,2.87,0.00,0.06,0.00,,0.05,0.00,,
chc-lia-0384.smt2,,,,1,2,,2,1,1,3,2,1,1,,,8574.96,2064.60,sat,107.51,0.05,0.00,,,3.23,2.80,0.00,0.06,0.00,,0.05,0.00,,
chc-lia-0385.smt2,,,,1,3,,,3,,4,3,,2,,,,2063.49,timeout,597.50,15.74,3.51,,,4.85,2.78,0.00,15.76,3.38,,12.37,0.01,0.00,
chc-lia-0386.smt2,,75,151,151,91,3413,82,12381,,3169,83,6067,3089,,,11795.28,5833.79,sat,248.09,151.56,20.11,76.01,0.17,11.68,9.89,11.21,179.97,69.04,,109.29,22.19,17.17,
chc-lia-0387.smt2,,,,1,2,,2,1,1,3,2,1,1,,,7487.32,4759.23,sat,78.95,13.97,0.00,,,13.00,11.84,0.00,13.97,0.01,,13.96,0.00,,
chc-lia-0388.smt2,,2,3,3,32,1,17,50,,37,33,31,33,,,15939.72,7049.02,sat,454.88,348.29,0.06,302.41,0.00,13.05,11.45,0.10,348.65,248.23,,100.39,0.17,0.00,
chc-lia-0389.smt2,,,,1,2,,2,1,1,3,2,1,1,,,8068.80,5178.04,sat,73.29,5.53,0.00,,,14.37,12.84,0.00,5.53,0.02,,5.51,0.00,,
chc-lia-0390.smt2,,,,1,2,,2,1,1,3,2,1,1,,,6388.08,3983.42,sat,79.97,0.49,0.00,,,11.00,9.48,0.00,0.50,0.00,,0.49,0.00,,
chc-lia-0391.smt2,,,6,5,17,10,4,82,,26,11,42,20,,,,4551.00,timeout,594.28,481.82,0.05,139.28,0.00,19.07,17.22,0.84,482.88,365.20,,117.67,1.00,0.00,
chc-lia-0395.smt2,,,,1,2,,2,1,1,3,2,1,1,,,14773.48,9201.76,sat,263.87,0.53,0.00,,,32.54,28.67,0.00,0.54,0.00,,0.53,0.00,,
chc-lia-0396.smt2,,,,1,2,,2,1,1,3,2,1,1,,,25656.28,17939.36,sat,247.75,0.78,0.00,,,60.14,55.07,0.00,0.78,0.00,,0.78,0.00,,
chc-lia-0400.smt2,,,,1,2,,2,1,,3,2,1,1,,,26.76,9.74,sat,0.03,0.00,0.00,,,0.00,0.00,0.00,0.01,0.00,,0.01,0.00,0.00,
chc-lia-0401.smt2,,,3,3,7,1,2,15,,9,6,8,8,3,1,44.16,14.52,unsat,0.07,0.03,0.01,,0.00,0.00,0.00,0.00,0.04,0.01,,0.03,0.00,0.01,0.00
