index,SPACER_cluster_out_of_gas,SPACER_expand_pob_undef,SPACER_inductive_level,SPACER_max_cluster_size,SPACER_max_cvx_reduced_dim,SPACER_max_depth,SPACER_max_query_lvl,SPACER_need_sage,SPACER_num_abstractions,SPACER_num_abstractions_failed,SPACER_num_abstractions_success,SPACER_num_active_lemmas,SPACER_num_cant_abstract,SPACER_num_ctp_blocked,SPACER_num_dim_reduction_success,SPACER_num_invariants,SPACER_num_is_invariant,SPACER_num_lemma_jumped,SPACER_num_lemmas,SPACER_num_mbp_failed,SPACER_num_merge_gen,SPACER_num_merge_gen_failed,SPACER_num_merge_gen_success,SPACER_num_no_over_approximate,SPACER_num_non_lin,SPACER_num_pobs,SPACER_num_propagations,SPACER_num_queries,SPACER_num_reach_queries,SPACER_num_refinements,SPACER_num_reuse_reach_facts,SPACER_num_sync_cvx_cls,SPACER_num_under_approximations,SPACER_pob_out_of_gas,SPACER_wide_attmpts,SPACER_wide_success,max_memory,memory,result,time,time_pool_solver_smt_total,time_pool_solver_smt_total_sat,time_pool_solver_smt_total_undef,time_spacer_ctp,time_spacer_init_rules,time_spacer_init_rules_pt_init,time_spacer_mbp,time_spacer_solve,time_spacer_solve_propagate,time_spacer_solve_pt_must_reachable,time_spacer_solve_reach,time_spacer_solve_reach_children,time_spacer_solve_reach_cluster,time_spacer_solve_reach_gen_bool_ind,time_spacer_solve_reach_gen_merge,time_spacer_solve_reach_gen_merge_cvx_cls,time_spacer_solve_reach_gen_wide,time_spacer_solve_reach_is_reach
chc-lia-0234.smt2,,,4,2,,5,5,,6,,8,15,,6,,7,43,,37,,,,,,,25,18,25,,,,,,,,,64.76,28.99,sat,0.16,0.06,0.01,0.02,0.00,0.01,0.00,0.00,0.10,0.03,,0.06,0.01,0.00,0.00,0.00,,0.00,
chc-lia-0235.smt2,,,,,,,59,,,,,509,,4837,,,21568,58,1874,,,,,,,187,9698,1821,,,,,,,,,,313.28,timeout,596.53,564.11,416.13,,2.94,0.00,0.00,0.35,581.62,280.94,,300.48,1.94,9.20,213.62,0.00,,0.00,
chc-lia-0236.smt2,,,,,1,36,35,,,,,811,3,4232,,,15849,8,2189,,,,,,,334,6263,2155,,,,,,,,,,334.74,timeout,597.17,513.14,391.13,,4.00,0.00,0.00,0.45,541.35,183.09,,358.12,2.84,17.69,250.43,0.22,0.00,0.22,
chc-lia-0237.smt2,22,,,5,1,13,13,,18,15,3,23,,40,,1,114,2,63,,3,9,1,,,39,46,58,27,7,17,,,,,,97.68,41.34,unsat,0.84,0.40,0.24,,0.00,0.01,0.01,0.06,0.65,0.08,,0.52,0.07,0.02,0.04,0.04,0.00,0.04,0.10
chc-lia-0238.smt2,,,,,,1,1,,,,,7,,,,5,11,,8,,,,,,,7,9,6,,,,,,,,,53.20,25.30,sat,0.12,0.05,0.02,,,0.01,0.00,0.00,0.05,0.02,,0.03,0.00,0.00,0.00,0.00,,0.00,
chc-lia-0240.smt2,,,,,,41,41,,,,,138,,3757,,401,17143,30,1575,,,,,,,211,9010,1534,,,,,,,,,1072.12,677.99,sat,313.61,298.89,215.58,,2.27,0.00,0.00,0.28,312.36,138.70,,173.52,1.62,6.91,122.31,0.00,,0.00,
chc-lia-0241.smt2,,,,,1,37,36,,,,,816,5,4023,,,14456,12,2255,,,,,,,353,5446,2219,,,,,,,,,,329.60,timeout,597.56,492.38,377.55,,3.51,0.00,0.00,0.44,519.92,165.53,,354.26,2.93,17.56,249.34,0.24,0.00,0.24,
chc-lia-0242.smt2,,,,,,37,36,,6,,,856,,4607,,,17243,31,2535,,,,,,,364,7163,2524,,,,,,6,12,,,332.00,timeout,596.92,524.18,408.68,,3.78,0.00,0.00,0.43,552.27,166.25,,385.90,3.16,17.38,274.74,0.57,0.00,0.57,0.19
chc-lia-0243.smt2,,,,1,,4,4,,,,,12,2,5,,10,26,,22,,,,,,,13,9,17,,,,,,,,,95.76,41.17,sat,0.32,0.15,0.09,,0.00,0.01,0.01,0.01,0.20,0.04,,0.15,0.02,0.00,0.03,0.00,,0.00,
chc-lia-0244.smt2,69,166,,7,1,17,17,,53,12,10,81,,177,36,13,641,2,245,,23,11,,,,143,233,245,28,71,15,,,2,291,4,247.56,104.64,unsat,5.33,3.74,1.26,1.51,0.01,0.01,0.01,0.30,5.02,0.69,,4.26,0.58,0.15,0.42,1.18,0.00,1.18,0.41
chc-lia-0245.smt2,,,,,,66,66,,,,,283,,4024,,335,17875,11,1502,,,,,,,250,8980,1440,,,,,,,,,1070.92,689.58,sat,457.94,441.79,311.74,,2.56,0.00,0.00,0.28,456.77,180.14,,276.41,1.78,7.76,199.28,0.00,,0.00,
chc-lia-0246.smt2,,9,,,,4,4,,,,,12,,1,,4,31,,18,,,,,,,12,14,18,4,,3,,,,,,97.96,40.18,unsat,0.75,0.46,0.03,0.29,0.00,0.01,0.01,0.04,0.58,0.15,,0.42,0.07,0.00,0.13,0.00,,0.00,0.02
chc-lia-0247.smt2,,,21,,1,40,40,,13,,,153,,958,,125,4093,10,747,,,,,,,93,1743,753,,2,,,,13,,,523.72,287.09,sat,42.03,38.20,27.07,,0.26,0.00,0.00,0.13,41.73,11.22,,30.37,0.70,1.59,19.76,0.22,0.00,0.22,0.15
chc-lia-0248.smt2,,,,,,4,4,,,,,14,,2,,8,30,,21,,,,,,,8,12,16,,,,,,,,,118.16,49.81,sat,0.29,0.14,0.07,0.01,0.00,0.02,0.01,0.01,0.17,0.03,,0.13,0.01,0.00,0.01,0.00,,0.00,
chc-lia-0249.smt2,,,,,,,38,,,,,763,,4102,,,16494,12,2371,,,,,,,421,7335,2335,,,,,,,,,,323.40,timeout,597.16,506.72,371.42,,3.23,0.01,0.00,0.42,531.16,178.45,,352.58,3.36,14.15,245.15,0.08,,0.08,
chc-lia-0251.smt2,,,,,,3,3,,,,,5,,1,,4,9,,10,,,,,,,4,3,6,,,,,,,,,90.56,43.27,sat,0.21,0.07,0.03,,0.00,0.01,0.01,0.00,0.08,0.02,,0.05,0.00,0.00,0.00,0.00,,0.00,
chc-lia-0252.smt2,,,,1,,5,5,,2,,5,20,,10,,10,71,,31,,,,,,,18,36,23,,,,,,,,,146.88,72.15,sat,0.46,0.18,0.07,,0.00,0.02,0.02,0.01,0.24,0.08,,0.14,0.02,0.00,0.00,0.00,,0.00,
chc-lia-0254.smt2,,43,,4,1,7,7,,14,,12,34,11,5,,10,155,,53,,,,,,,51,93,53,7,,6,,,,352,,264.68,109.35,unsat,3.79,3.08,0.14,2.47,0.00,0.03,0.02,0.09,3.41,0.51,,2.87,0.18,0.02,0.29,1.50,0.00,1.50,0.09
