index,SPACER_cex_depth,SPACER_cluster_out_of_gas,SPACER_concretize,SPACER_conj,SPACER_conj_failed,SPACER_conj_success,SPACER_expand_pob_undef,SPACER_inductive_level,SPACER_max_cluster_size,SPACER_max_cvx_reduced_dim,SPACER_max_depth,SPACER_max_query_lvl,SPACER_need_sage,SPACER_non_local_gen,SPACER_num_active_lemmas,SPACER_num_cant_abstract,SPACER_num_ctp_blocked,SPACER_num_dim_reduction_success,SPACER_num_invariants,SPACER_num_is_invariant,SPACER_num_lemma_jumped,SPACER_num_lemmas,SPACER_num_non_lin,SPACER_num_pobs,SPACER_num_propagations,SPACER_num_reach_queries,SPACER_num_sync_cvx_cls,SPACER_pob_out_of_gas,SPACER_queries,SPACER_reuse_reach_facts,SPACER_subsume_failed,SPACER_subsume_pob,SPACER_subsume_success,max_memory,memory,result,time,time_iuc_solver_get_iuc,time_iuc_solver_get_iuc_hyp_reduce1,time_iuc_solver_get_iuc_hyp_reduce2,time_iuc_solver_get_iuc_learn_core,time_pool_solver_proof,time_pool_solver_smt_total,time_pool_solver_smt_total_sat,time_pool_solver_smt_total_undef,time_spacer_ctp,time_spacer_init_rules,time_spacer_init_rules_pt_init,time_spacer_mbp,time_spacer_solve,time_spacer_solve_propagate,time_spacer_solve_pt_must_reachable,time_spacer_solve_reach,time_spacer_solve_reach_children,time_spacer_solve_reach_cluster,time_spacer_solve_reach_gen_bool_ind,time_spacer_solve_reach_gen_global,time_spacer_solve_reach_gen_global_cvx_cls,time_spacer_solve_reach_is_reach
chc-lia-nonlin-0260.smt2,,,,,,,,8,,,10,10,,,57,,45,,41,93,3,93,,77,8,18,,,86,185,,,,1447.40,529.62,sat,14.41,0.12,0.01,0.03,0.01,0.07,11.61,8.52,,0.00,0.17,0.07,0.68,13.19,1.33,0.35,11.82,0.79,0.01,2.29,0.00,,0.86
chc-lia-nonlin-0261.smt2,6,,,,,,,,,,6,6,,,54,,27,,3,346,17,110,,54,193,6,,,109,192,,,,1727.36,538.20,unsat,5.85,0.02,0.00,0.00,0.00,0.01,4.44,2.19,,0.00,0.24,0.11,0.13,4.82,0.83,,3.97,0.22,0.00,0.00,0.00,,0.19
chc-lia-nonlin-0262.smt2,6,,,,,,,,,,6,6,,,56,,30,,3,356,18,112,,56,201,6,,,111,192,,,,1733.00,539.89,unsat,5.95,0.02,0.00,0.00,0.00,0.01,4.49,2.20,,0.00,0.25,0.11,0.15,4.90,0.84,,4.04,0.24,0.00,0.00,0.00,,0.19
chc-lia-nonlin-0263.smt2,6,,,,,,,,,,6,6,,,56,,30,,3,356,18,112,,56,201,6,,,111,192,,,,1733.00,539.89,unsat,5.91,0.02,0.00,0.00,0.00,0.01,4.47,2.20,,0.00,0.24,0.10,0.15,4.88,0.84,,4.02,0.24,0.00,0.00,0.00,,0.19
chc-lia-nonlin-0264.smt2,,,,6,6,,,12,4,,14,14,,,60,,109,,47,237,11,139,,93,45,22,,,130,227,,,,1669.92,596.00,sat,17.42,0.19,0.02,0.04,0.01,0.12,14.12,10.93,,0.01,0.16,0.07,0.78,16.05,2.36,0.32,13.64,0.97,0.03,2.95,0.01,,0.77
chc-lia-nonlin-0265.smt2,,,,,,,,6,,,8,8,,,35,,18,,27,57,6,56,,43,8,8,,,49,98,,,,852.80,315.53,sat,8.78,0.06,0.01,0.01,0.00,0.03,6.80,4.80,,0.00,0.14,0.07,0.46,7.75,0.70,0.55,7.01,0.40,0.01,1.63,0.00,,1.31
chc-lia-nonlin-0266.smt2,18,,,10,1,14,,,10,,16,16,,4,120,,300,,37,1153,68,211,,143,579,28,,,209,139,,,,2191.40,749.80,unsat,11.08,0.17,0.02,0.05,0.01,0.09,7.91,4.93,,0.01,0.18,0.09,0.53,9.51,2.34,0.26,7.10,0.65,0.04,0.97,0.03,,0.88
chc-lia-nonlin-0267.smt2,26,1,,98,,58,59,,8,4,26,26,1,67,202,1,887,6,18,4060,546,419,,234,2426,30,1,1,410,15,61,79,,2824.76,986.71,unsat,9.34,0.31,0.03,0.10,0.03,0.11,6.33,2.31,0.36,0.02,0.22,0.09,0.17,8.15,2.36,0.02,5.67,0.42,0.17,0.80,0.15,0.00,0.55
chc-lia-nonlin-0268.smt2,6,,,,,,,,,,6,6,,,60,,31,,3,386,29,121,,60,218,6,,,120,192,,,,1860.44,575.21,unsat,6.15,0.02,0.00,0.00,0.00,0.01,4.62,2.25,,0.00,0.27,0.11,0.13,5.03,0.85,,4.15,0.23,0.00,0.00,0.00,,0.19
chc-lia-nonlin-0269.smt2,45,27,,117,40,61,,,22,2,35,35,,27,263,1,305,,58,964,57,482,,568,431,108,6,61,734,368,11,9,,4093.68,1367.64,unsat,33.33,0.71,0.08,0.23,0.06,0.33,25.52,14.61,,0.01,0.18,0.10,1.32,30.68,3.20,0.35,27.32,2.03,0.39,5.91,0.31,0.00,2.04
chc-lia-nonlin-0270.smt2,,,,18,16,6,,11,5,,16,16,,6,85,,157,,69,639,21,182,,145,304,47,,,171,355,,,,2194.84,836.09,sat,42.87,0.43,0.04,0.11,0.03,0.26,37.72,29.14,,0.01,0.11,0.06,1.27,41.28,10.34,0.65,30.88,1.59,0.08,9.95,0.04,,1.42
chc-lia-nonlin-0271.smt2,13,,,9,10,13,,,3,,12,12,,,114,,120,,47,1156,27,196,,157,796,42,,,194,245,,,,2322.64,782.69,unsat,15.50,0.19,0.02,0.05,0.02,0.10,12.45,7.53,,0.01,0.16,0.09,0.61,14.29,5.13,0.34,9.11,0.78,0.04,1.48,0.01,,0.80
chc-lia-nonlin-0272.smt2,12,,,,,,,,,,12,12,,,72,,196,,12,1004,28,137,,67,578,12,,,136,148,,,,2059.60,668.71,unsat,5.39,0.04,0.00,0.01,0.00,0.02,3.72,2.20,,0.00,0.25,0.11,0.20,4.30,1.40,0.01,2.85,0.31,0.01,0.15,0.00,,0.19
chc-lia-nonlin-0273.smt2,12,,,,,,,,,,12,12,,,71,,199,,12,990,22,136,,68,564,12,,,135,292,,,,2404.60,775.71,unsat,12.49,0.05,0.00,0.01,0.00,0.03,10.29,6.57,,0.00,0.30,0.13,0.26,11.02,3.05,0.01,7.92,0.43,0.00,0.76,0.00,,0.41
chc-lia-nonlin-0274.smt2,12,,,,,,,,,,12,12,,,78,,224,,12,1119,26,149,,73,645,12,,,148,148,,,,2225.96,716.93,unsat,5.47,0.04,0.00,0.01,0.00,0.02,3.72,2.25,,0.00,0.27,0.12,0.23,4.34,1.37,0.01,2.92,0.35,0.01,0.27,0.00,,0.18
chc-lia-nonlin-0275.smt2,,,,9,6,3,,8,6,,14,14,,,63,,96,,61,196,5,133,,112,23,23,,,125,204,,,,1925.52,686.78,sat,18.35,0.18,0.02,0.05,0.01,0.10,14.75,11.36,,0.00,0.18,0.09,0.80,16.64,2.18,0.31,14.41,0.92,0.03,3.79,0.01,,0.80
chc-lia-nonlin-0276.smt2,12,,,,,,,,,,12,12,,,77,,224,,12,1134,32,148,,72,660,12,,,147,292,,,,2655.84,845.02,unsat,13.29,0.06,0.00,0.01,0.00,0.04,10.86,6.95,,0.00,0.35,0.14,0.30,11.68,3.28,0.02,8.34,0.47,0.00,0.83,0.00,,0.47
chc-lia-nonlin-0277.smt2,12,,,,,,,,,,12,12,,,81,,237,,12,1214,30,155,,78,713,12,,,154,148,,,,2332.24,747.23,unsat,6.42,0.05,0.00,0.01,0.00,0.02,4.53,2.58,,0.00,0.31,0.14,0.19,5.16,1.64,0.02,3.47,0.32,0.01,0.30,0.00,,0.22
chc-lia-nonlin-0278.smt2,,,,1,,3,,10,1,,12,12,,,61,,69,,50,151,4,112,,79,23,16,,,102,189,,,,2138.08,751.33,sat,25.26,0.17,0.02,0.04,0.01,0.11,21.12,16.16,,0.00,0.29,0.12,0.98,23.38,2.46,0.50,20.88,1.17,0.02,5.06,0.00,,1.42
chc-lia-nonlin-0279.smt2,8,,,2,,8,,,,,8,8,,,63,,79,,20,150,1,143,,73,11,12,,,139,86,,,,1301.32,437.77,unsat,5.95,0.06,0.01,0.01,0.00,0.03,3.78,2.60,,0.00,0.22,0.11,0.34,4.63,0.54,0.30,4.06,0.39,0.01,0.81,0.00,,0.46
chc-lia-nonlin-0280.smt2,12,,,,,,,,,,12,12,,,76,,221,,12,1098,25,150,,72,637,12,,,149,292,,,,2756.04,873.61,unsat,15.12,0.06,0.00,0.01,0.00,0.04,12.35,7.21,,0.01,0.45,0.23,0.30,13.24,3.54,0.02,9.64,0.50,0.00,0.67,0.00,,0.51
chc-lia-nonlin-0281.smt2,12,,,,,,,,,,12,12,,,79,,236,,12,1207,30,155,,74,710,12,,,154,292,,,,2829.56,895.22,unsat,15.27,0.06,0.00,0.01,0.00,0.03,12.60,7.41,,0.00,0.47,0.24,0.26,13.42,3.07,0.01,10.30,0.45,0.00,1.51,0.00,,0.49
chc-lia-nonlin-0282.smt2,,,,12,9,1,,41,15,2,41,41,,,142,,375,15,108,1623,88,296,,224,964,53,3,,293,171,11,18,5,3430.36,1188.61,sat,39.23,0.45,0.04,0.12,0.03,0.25,32.79,20.89,,0.02,0.24,0.13,1.37,36.88,12.47,0.58,24.22,1.71,0.14,6.64,0.10,0.00,2.30
chc-lia-nonlin-0283.smt2,,74,,201,,141,,,29,2,49,48,,36,442,,364,13,352,8517,90,736,,767,7540,54,10,31,849,20,50,27,,5675.26,5667.94,timeout,599.28,2.77,0.23,1.02,0.24,1.19,573.25,48.80,,0.07,0.35,0.17,2.79,590.01,136.21,0.82,453.60,3.06,3.10,44.23,2.07,0.00,5.35
