index,SPACER_cex_depth,SPACER_cluster_out_of_gas,SPACER_concretize,SPACER_conj,SPACER_conj_failed,SPACER_conj_success,SPACER_expand_pob_undef,SPACER_inductive_level,SPACER_max_cluster_size,SPACER_max_cvx_reduced_dim,SPACER_max_depth,SPACER_max_query_lvl,SPACER_need_sage,SPACER_non_local_gen,SPACER_num_active_lemmas,SPACER_num_cant_abstract,SPACER_num_ctp_blocked,SPACER_num_dim_reduction_success,SPACER_num_invariants,SPACER_num_is_invariant,SPACER_num_lemma_jumped,SPACER_num_lemmas,SPACER_num_no_over_approximate,SPACER_num_non_lin,SPACER_num_pobs,SPACER_num_propagations,SPACER_num_reach_queries,SPACER_num_sync_cvx_cls,SPACER_pob_out_of_gas,SPACER_queries,SPACER_reuse_reach_facts,SPACER_subsume_failed,SPACER_subsume_pob,SPACER_subsume_success,max_memory,memory,result,time,time_pool_solver_smt_total,time_pool_solver_smt_total_sat,time_pool_solver_smt_total_undef,time_spacer_ctp,time_spacer_init_rules,time_spacer_init_rules_pt_init,time_spacer_mbp,time_spacer_solve,time_spacer_solve_propagate,time_spacer_solve_pt_must_reachable,time_spacer_solve_reach,time_spacer_solve_reach_children,time_spacer_solve_reach_cluster,time_spacer_solve_reach_gen_bool_ind,time_spacer_solve_reach_gen_global,time_spacer_solve_reach_gen_global_cvx_cls,time_spacer_solve_reach_is_reach
chc-lia-nonlin-0061.smt2,3,,,,,,,,,,3,3,,,6,,1,,1,11,,8,,,5,4,3,,,7,3,,,,33.84,8.86,unsat,0.04,0.01,0.00,,0.00,0.00,0.00,0.00,0.02,0.00,,0.01,0.00,0.00,0.00,0.00,,0.00
chc-lia-nonlin-0062.smt2,4,,,,,,,,,,4,4,,,9,,3,,1,14,,15,,,9,4,4,,,14,7,,,,39.72,11.01,unsat,0.06,0.02,0.01,,0.00,0.00,0.00,0.00,0.04,0.00,,0.02,0.00,0.00,0.00,0.00,,0.00
chc-lia-nonlin-0063.smt2,,,,,,,,,,,1,1,,,2,,,,2,1,,3,,,2,1,,,,1,,,,,17.76,6.45,sat,0.02,0.00,0.00,,,0.00,0.00,0.00,0.01,0.00,,0.00,0.00,0.00,0.00,0.00,,
chc-lia-nonlin-0064.smt2,,,,,,,,,,,1,1,,,3,,,,3,2,,4,,,3,2,,,,2,,,,,17.88,6.60,sat,0.02,0.00,0.00,,,0.00,0.00,0.00,0.01,0.00,,0.00,0.00,0.00,0.00,0.00,,
chc-lia-nonlin-0065.smt2,,,,,,,,,,,1,1,,,2,,,,2,1,,3,,,2,1,,,,1,,,,,18.32,6.91,sat,0.02,0.00,0.00,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,,
chc-lia-nonlin-0066.smt2,,,,,,,,1,,,2,2,,,5,,,,3,5,,7,,,3,2,,,,4,4,,,,28.76,10.45,sat,0.04,0.01,0.01,,,0.00,0.00,0.00,0.02,0.00,,0.02,0.00,0.00,0.01,0.00,,
chc-lia-nonlin-0067.smt2,1,,,,,,,,,,1,1,,,1,,,,,,,1,,,1,,1,,,,1,,,,26.48,6.16,unsat,0.02,0.00,0.00,,,0.00,0.00,0.00,0.00,,,0.00,,0.00,,,,
chc-lia-nonlin-0068.smt2,,,,,,,,,,,1,1,,,2,,,,2,1,,3,,,2,1,,,,1,,,,,18.00,6.62,sat,0.02,0.00,0.00,,,0.00,0.00,0.00,0.01,0.00,,0.01,0.00,0.00,0.00,0.00,,
chc-lia-nonlin-0069.smt2,,,,,,,,,,,1,1,,,1,,,,,,,1,,,1,,1,,,,5,,,,28.04,6.94,unsat,0.02,0.00,0.00,,,0.00,0.00,0.00,0.00,,,0.00,,0.00,,,,
chc-lia-nonlin-0070.smt2,,,,4,2,2,,5,8,1,7,7,,,28,,28,3,21,97,4,51,,,44,40,13,,,44,51,9,4,2,64.20,27.50,sat,0.25,0.12,0.05,,0.00,0.01,0.00,0.01,0.22,0.03,0.00,0.16,0.01,0.01,0.04,0.01,0.00,0.01
chc-lia-nonlin-0071.smt2,,,,,,,,,,,1,1,,,2,,,,2,1,,3,,,2,1,,,,1,,,,,26.20,9.18,sat,0.02,0.00,0.00,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,,
chc-lia-nonlin-0072.smt2,,,,,,,,1,,,2,2,,,4,,,,3,6,,6,,,3,3,,,,3,,,,,22.44,7.91,sat,0.04,0.01,0.00,,0.00,0.00,0.00,0.00,0.02,0.00,,0.01,0.00,0.00,0.00,0.00,,
chc-lia-nonlin-0073.smt2,,,,,,,,1,,,2,2,,,4,,,,3,6,,6,,,3,3,,,,3,,,,,22.44,7.91,sat,0.02,0.00,0.00,,0.00,0.00,0.00,0.00,0.01,0.00,,0.00,0.00,0.00,0.00,0.00,,
chc-lia-nonlin-0074.smt2,,,,13,21,26,,8,5,1,11,11,,,14,,22,2,19,81,2,51,,,66,33,27,,1,42,155,2,2,,93.96,37.53,sat,0.46,0.26,0.17,,0.00,0.01,0.00,0.03,0.42,0.03,0.03,0.35,0.02,0.02,0.12,0.01,0.00,
chc-lia-nonlin-0075.smt2,,,,,,,,,,,1,1,,,3,,,,3,2,2,4,,,3,2,,,,2,,,,,25.84,9.06,sat,0.02,0.00,0.00,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,,
chc-lia-nonlin-0076.smt2,,,,,,,,3,,,4,4,,,9,,4,,5,19,1,14,,,7,9,3,,,10,12,,,,45.00,16.30,sat,0.10,0.04,0.01,,0.00,0.01,0.00,0.00,0.07,0.01,0.00,0.04,0.01,0.00,0.01,0.00,,0.00
chc-lia-nonlin-0077.smt2,,,21,13,,15,30,4,11,3,12,12,2,1,59,1,136,15,240,1531,3,348,,21,286,1123,6,8,,305,177,18,28,3,512.60,300.04,sat,10.95,9.03,4.85,0.31,0.05,0.00,0.00,0.11,10.57,2.34,0.02,8.18,0.28,0.59,3.86,0.19,0.00,0.01
chc-lia-nonlin-0078.smt2,,,,,,,,,,,6,5,,,14,,16,,3,57,,25,,,14,21,3,,,19,32,,,,597.87,597.52,timeout,599.14,0.06,0.02,,0.00,0.01,0.00,0.01,0.10,0.02,0.00,0.06,0.01,0.00,0.01,0.00,,
chc-lia-nonlin-0079.smt2,,,,,,,,1,,1,2,2,,,6,,1,,11,21,,18,,,13,16,,,,13,,4,2,,28.80,11.53,sat,0.06,0.02,0.01,,0.00,0.00,0.00,0.00,0.04,0.01,,0.03,0.00,0.00,0.01,0.00,0.00,
chc-lia-nonlin-0080.smt2,8,,,,,,,,,,7,7,,,10,,4,,3,39,,19,,,21,19,18,,,19,27,,,,83.44,30.28,unsat,0.19,0.08,0.04,,0.00,0.00,0.00,0.02,0.15,0.02,0.02,0.10,0.01,0.00,0.00,0.00,,0.05
chc-lia-nonlin-0081.smt2,,,,,,,,,,,1,1,,,2,,,,2,1,,3,,,2,1,,,,1,,,,,19.00,7.10,sat,0.02,0.00,0.00,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,,
chc-lia-nonlin-0082.smt2,,,,,,,,1,,1,2,2,,,6,,1,,11,21,,18,,,13,16,,,,13,,4,2,,28.52,11.52,sat,0.06,0.02,0.01,,0.00,0.00,0.00,0.00,0.04,0.01,,0.03,0.00,0.00,0.01,0.00,0.00,
chc-lia-nonlin-0083.smt2,,,,,,,,1,,1,3,3,,,5,,3,1,7,16,2,15,,,12,8,1,,,10,125,2,1,,88.84,40.48,sat,0.27,0.15,0.08,,0.00,0.01,0.00,0.02,0.21,0.03,0.01,0.17,0.03,0.00,0.03,0.00,0.00,
